absolute time(s)	TEP (mV)	Va (mV)	Vb (mV)	A ratio	TTL signal	Temp (C)	comment time	comment
3717700442.850914	2.770966	-56.529199	-53.758233	1.141217	-0.000209	-0.000334	0.000000	
3717700442.952670	2.767840	-56.866985	-54.099145	1.141217	-0.000178	-0.000334	0.000000	
3717700443.053378	2.767840	-56.480721	-53.712881	1.141217	-0.000240	-0.000334	0.000000	
3717700443.153106	2.767840	-56.691837	-53.923997	1.141217	-0.000271	-0.000334	0.000000	
3717700443.252839	2.767840	-56.846655	-54.078815	1.141217	-0.000303	-0.000334	0.000000	
3717700443.353601	2.767840	-56.501050	-53.733210	1.141217	-0.000178	-0.000334	0.000000	
3717700443.453332	2.767840	-56.684018	-53.916177	1.141217	-0.000209	-0.000334	0.000000	
3717700443.553036	2.764714	-56.929538	-54.164824	1.141217	-0.000178	-0.000334	0.000000	
3717700443.652770	2.767840	-57.057771	-54.289931	1.141217	-0.000178	-0.000334	0.000000	
3717700443.753499	2.767840	-57.631694	-54.863854	1.141217	-0.000334	-0.000334	0.000000	
3717700443.853233	2.764714	-57.398685	-54.633971	1.141217	-0.000334	-0.000334	0.000000	
3717700443.952966	2.767840	-57.458110	-54.690270	1.141217	-0.000178	-0.000334	0.000000	
3717700444.053725	2.764714	-57.286090	-54.521375	1.141217	-0.000209	-0.000334	0.000000	
3717700444.153463	2.764714	-57.847502	-55.082788	1.141217	-0.000178	-0.000334	0.000000	
3717700444.253163	2.764714	-57.972608	-55.207894	1.141217	-0.000178	-0.000334	0.000000	
3717700444.352897	2.767840	-58.157139	-55.389299	1.141217	-0.000240	-0.000334	0.000000	
3717700444.454625	2.764714	-57.917874	-55.153160	1.141217	-0.000209	-0.000334	0.000000	
3717700444.554358	2.767840	-59.090742	-56.322902	1.141217	-0.000209	-0.000334	0.000000	
3717700444.654091	2.764714	-59.137657	-56.372942	1.141217	-0.000240	-0.000334	0.000000	
3717700444.753850	2.767840	-58.443319	-55.675479	1.141217	-0.000178	-0.000334	0.000000	
3717700444.854554	2.764714	-58.996912	-56.232198	1.141217	-0.000178	-0.000334	0.000000	
3717700444.954316	2.764714	-59.269018	-56.504304	1.141217	-0.000178	-0.000334	0.000000	
3717700445.054049	2.764714	-59.456677	-56.691963	1.141217	-0.000209	-0.000334	0.000000	
3717700445.153754	2.767840	-58.949998	-56.182157	1.141217	-0.000178	-0.000334	0.000000	
3717700445.254483	2.764714	-58.924977	-56.160262	1.141217	-0.000209	-0.000334	0.000000	
3717700445.354218	2.767840	-59.140784	-56.372944	1.141217	-0.000271	-0.000334	0.000000	
3717700445.453951	2.767840	-58.882753	-56.114913	1.141217	-0.000209	-0.000334	0.000000	
3717700445.555679	2.764714	-58.449574	-55.684860	1.141217	-0.000146	-0.000334	0.000000	
3717700445.655413	2.767840	-58.820200	-56.052360	1.141217	-0.000178	-0.000334	0.000000	
3717700445.755144	2.767840	-58.338543	-55.570702	1.141217	-0.000209	-0.000334	0.000000	
3717700445.854907	2.764714	-58.183724	-55.419010	1.141217	-0.000146	-0.000334	0.000000	
3717700445.956631	2.761588	-58.296319	-55.534731	1.141217	-0.000271	-0.000334	0.000000	
3717700446.056339	2.764714	-57.905364	-55.140649	1.141217	-0.000178	-0.000334	0.000000	
3717700446.156074	2.761588	-58.180596	-55.419008	1.141217	-0.000240	-0.000334	0.000000	
3717700446.255835	2.761588	-57.759928	-54.998340	1.141217	-0.000209	-0.000334	0.000000	
3717700446.356537	2.761588	-58.849913	-56.088325	1.141217	-0.000178	-0.000334	0.000000	
3717700446.456269	2.761588	-59.137657	-56.376069	1.141217	-0.000271	-0.000334	0.000000	
3717700446.556003	2.761588	-59.056338	-56.294750	1.141217	-0.000178	-0.000334	0.000000	
3717700446.655737	2.761588	-58.768594	-56.007006	1.141217	-0.000240	-0.000334	0.000000	
3717700446.756496	2.761588	-58.932796	-56.171208	1.141217	-0.000146	-0.000334	0.000000	
3717700446.856227	2.761588	-58.787360	-56.025772	1.141217	-0.000209	-0.000334	0.000000	
3717700446.955963	2.761588	-58.671637	-55.910049	1.141217	-0.000178	-0.000334	0.000000	
3717700447.056692	2.761588	-58.912466	-56.150878	1.141217	-0.000178	-0.000334	0.000000	
3717700447.156397	2.761588	-58.374511	-55.612923	1.141217	-0.000209	-0.000334	0.000000	
3717700447.256155	2.761588	-58.726371	-55.964783	1.141217	-0.000178	-0.000334	0.000000	
3717700447.355863	2.758462	-58.704477	-55.946015	1.141217	-0.000209	-0.000334	0.000000	
3717700447.456594	2.761588	-60.521641	-57.760053	1.141217	-0.000178	-0.000334	0.000000	
3717700447.556327	2.761588	-59.237741	-56.476153	1.141217	-0.000240	-0.000334	0.000000	
3717700447.656061	2.761588	-59.275273	-56.513685	1.141217	-0.000209	-0.000334	0.000000	
3717700447.755796	2.758462	-59.808537	-57.050075	1.141217	-0.000271	-0.000334	0.000000	
3717700447.856524	2.761588	-59.869526	-57.107938	1.141217	-0.000209	-0.000334	0.000000	
3717700447.956258	2.758462	-59.897675	-57.139213	1.141217	-0.000209	-0.000334	0.000000	
3717700448.055990	2.758462	-59.772569	-57.014107	1.141217	-0.000178	-0.000334	0.000000	
3717700448.155755	2.758462	-60.194802	-57.436340	1.141217	-0.000178	-0.000334	0.000000	
3717700448.256483	2.761588	-59.067284	-56.305696	1.141217	-0.000178	-0.000334	0.000000	
3717700448.356188	2.758462	-58.723243	-55.964781	1.141217	-0.000178	-0.000334	0.000000	
3717700448.455923	2.761588	-59.534868	-56.773280	1.141217	-0.000209	-0.000334	0.000000	
3717700448.557679	2.758462	-59.034444	-56.275982	1.141217	-0.000146	-0.000334	0.000000	
3717700448.657408	2.758462	-59.067284	-56.308823	1.141217	-0.000209	-0.000334	0.000000	
3717700448.757148	2.761588	-59.218975	-56.457387	1.141217	-0.000178	-0.000334	0.000000	
3717700448.856877	2.758462	-58.787360	-56.028898	1.141217	-0.000271	-0.000334	0.000000	
3717700448.958606	2.758462	-58.602829	-55.844367	1.141217	-0.000178	-0.000334	0.000000	
3717700449.058320	2.755336	-58.815509	-56.060173	1.141217	-0.000146	-0.000334	0.000000	
3717700449.158088	2.755336	-58.953125	-56.197790	1.141217	-0.000178	-0.000334	0.000000	
3717700449.257787	2.755336	-58.405787	-55.650451	1.141217	-0.000178	-0.000334	0.000000	
3717700449.358546	2.755336	-58.036725	-55.281389	1.141217	-0.000209	-0.000334	0.000000	
3717700449.458276	2.755336	-58.590318	-55.834982	1.141217	-0.000271	-0.000334	0.000000	
3717700449.558012	2.755336	-58.727935	-55.972599	1.141217	-0.000271	-0.000334	0.000000	
3717700449.657749	2.758462	-58.957817	-56.199355	1.141217	-0.000209	-0.000334	0.000000	
3717700449.758450	2.755336	-59.093869	-56.338534	1.141217	-0.000240	-0.000334	0.000000	
3717700449.858181	2.755336	-59.641208	-56.885872	1.141217	-0.000334	-0.000334	0.000000	
3717700449.957914	2.755336	-59.006295	-56.250960	1.141217	-0.000178	-0.000334	0.000000	
3717700450.058679	2.755336	-59.478570	-56.723234	1.141217	-0.000240	-0.000334	0.000000	
3717700450.158378	2.756899	-59.613059	-56.856160	1.141217	-0.000178	-0.000334	0.000000	
3717700450.258111	2.755336	-59.453549	-56.698213	1.141217	-0.000178	-0.000334	0.000000	
3717700450.357846	2.755336	-59.462932	-56.707596	1.141217	-0.000209	-0.000334	0.000000	
3717700450.458607	2.755336	-59.711580	-56.956244	1.141217	-0.000303	-0.000334	0.000000	
3717700450.558309	2.755336	-59.684995	-56.929659	1.141217	-0.000146	-0.000334	0.000000	
3717700450.658072	2.755336	-59.878909	-57.123573	1.141217	-0.000146	-0.000334	0.000000	
3717700450.757775	2.755336	-59.319060	-56.563724	1.141217	-0.000271	-0.000334	0.000000	
3717700450.858538	2.755336	-59.958664	-57.203328	1.141217	-0.000209	-0.000334	0.000000	
3717700450.958239	2.755336	-59.750676	-56.995340	1.141217	-0.000178	-0.000334	0.000000	
3717700451.057973	2.758462	-59.466060	-56.707598	1.141217	-0.000209	-0.000334	0.000000	
3717700451.157736	2.755336	-59.412890	-56.657554	1.141217	-0.000146	-0.000334	0.000000	
3717700451.258435	2.755336	-58.874934	-56.119598	1.141217	-0.000146	-0.000334	0.000000	
3717700451.358171	2.755336	-59.602112	-56.846776	1.141217	-0.000209	-0.000334	0.000000	
3717700451.457937	2.755336	-59.444166	-56.688830	1.141217	-0.000178	-0.000334	0.000000	
3717700451.558634	2.755336	-59.700633	-56.945297	1.141217	-0.000240	-0.000334	0.000000	
3717700451.658399	2.755336	-59.281528	-56.526193	1.141217	-0.000209	-0.000334	0.000000	
3717700451.758100	2.755336	-59.594293	-56.838957	1.141217	-0.000209	-0.000334	0.000000	
3717700451.857861	2.752210	-59.796026	-57.043817	1.141217	-0.000178	-0.000334	0.000000	
3717700451.958564	2.755336	-59.916441	-57.161105	1.141217	-0.000178	-0.000334	0.000000	
3717700452.058326	2.755336	-59.594293	-56.838957	1.141217	-0.000178	-0.000334	0.000000	
3717700452.158029	2.755336	-59.272145	-56.516810	1.141217	-0.000178	-0.000334	0.000000	
3717700452.257791	2.752210	-59.406634	-56.654425	1.141217	-0.000209	-0.000334	0.000000	
3717700452.358493	2.752210	-58.336979	-55.584769	1.141217	-0.000209	-0.000334	0.000000	
3717700452.458251	2.752210	-58.355745	-55.603535	1.141217	-0.000271	-0.000334	0.000000	
3717700452.557961	2.752210	-59.265890	-56.513680	1.141217	-0.000146	-0.000334	0.000000	
3717700452.659725	2.749084	-58.964072	-56.214988	1.141217	-0.000209	-0.000334	0.000000	
3717700452.759422	2.752210	-59.469187	-56.716977	1.141217	-0.000240	-0.000334	0.000000	
3717700452.859154	2.749084	-59.892984	-57.143900	1.141217	-0.000178	-0.000334	0.000000	
3717700452.958915	2.749084	-58.655999	-55.906915	1.141217	-0.000209	-0.000334	0.000000	
3717700453.059648	2.752210	-59.719399	-56.967189	1.141217	-0.000240	-0.000334	0.000000	
3717700453.159384	2.749084	-59.434783	-56.685699	1.141217	-0.000209	-0.000334	0.000000	
3717700453.259113	2.749084	-59.781952	-57.032868	1.141217	-0.000209	-0.000334	0.000000	
3717700453.358819	2.749084	-59.919569	-57.170485	1.141217	-0.000146	-0.000334	0.000000	
3717700453.459570	2.752210	-59.295603	-56.543393	1.141217	-0.000240	-0.000334	0.000000	
3717700453.559282	2.749084	-59.362847	-56.613764	1.141217	-0.000146	-0.000334	0.000000	
3717700453.659016	2.749084	-59.381613	-56.632529	1.141217	-0.000209	-0.000334	0.000000	
3717700453.758748	2.752210	-59.209592	-56.457383	1.141217	-0.000240	-0.000334	0.000000	
3717700453.859479	2.749084	-60.943874	-58.194790	1.141217	-0.000209	-0.000334	0.000000	
3717700453.959213	2.745958	-60.610779	-57.864821	1.141217	-0.000240	-0.000334	0.000000	
3717700454.058974	2.749084	-60.509130	-57.760047	1.141217	-0.000240	-0.000334	0.000000	
3717700454.160702	2.745958	-61.111203	-58.365245	1.141217	-0.000303	-0.000334	0.000000	
3717700454.260438	2.745958	-60.316780	-57.570822	1.141217	-0.000146	-0.000334	0.000000	
3717700454.360139	2.745958	-59.719399	-56.973442	1.141217	-0.000178	-0.000334	0.000000	
3717700454.459902	2.745958	-59.492645	-56.746687	1.141217	-0.000178	-0.000334	0.000000	
3717700454.560603	2.745958	-59.835122	-57.089165	1.141217	-0.000209	-0.000334	0.000000	
3717700454.660338	2.745958	-59.871090	-57.125132	1.141217	-0.000178	-0.000334	0.000000	
3717700454.760152	2.745958	-58.915594	-56.169636	1.141217	-0.000178	-0.000334	0.000000	
3717700454.859931	2.745958	-58.724807	-55.978850	1.141217	-0.000240	-0.000334	0.000000	
3717700454.960627	2.742831	-59.172061	-56.429229	1.141217	-0.000334	-0.000334	0.000000	
3717700455.060347	2.742831	-58.918721	-56.175890	1.141217	-0.000178	-0.000334	0.000000	
3717700455.160089	2.745958	-58.987529	-56.241572	1.141217	-0.000209	-0.000334	0.000000	
3717700455.259842	2.745958	-58.818637	-56.072679	1.141217	-0.000209	-0.000334	0.000000	
3717700455.360574	2.745958	-58.458957	-55.713000	1.141217	-0.000209	-0.000334	0.000000	
3717700455.460278	2.745958	-58.573116	-55.827159	1.141217	-0.000209	-0.000334	0.000000	
3717700455.560010	2.745958	-58.258788	-55.512830	1.141217	-0.000178	-0.000334	0.000000	
3717700455.659744	2.742831	-58.868679	-56.125847	1.141217	-0.000146	-0.000334	0.000000	
3717700455.760509	2.742831	-58.774849	-56.032018	1.141217	-0.000209	-0.000334	0.000000	
3717700455.860208	2.742831	-59.168933	-56.426102	1.141217	-0.000209	-0.000334	0.000000	
3717700455.959962	2.742831	-59.458240	-56.715409	1.141217	-0.000178	-0.000334	0.000000	
3717700456.060672	2.742831	-59.813229	-57.070397	1.141217	-0.000178	-0.000334	0.000000	
3717700456.160406	2.742831	-58.990657	-56.247826	1.141217	-0.000240	-0.000334	0.000000	
3717700456.260138	2.742831	-58.440191	-55.697360	1.141217	-0.000209	-0.000334	0.000000	
3717700456.359872	2.739705	-58.474595	-55.734890	1.141217	-0.000209	-0.000334	0.000000	
3717700456.460602	2.739705	-58.427681	-55.687975	1.141217	-0.000209	-0.000334	0.000000	
3717700456.560335	2.742831	-58.756084	-56.013252	1.141217	-0.000240	-0.000334	0.000000	
3717700456.660096	2.739705	-58.494925	-55.755220	1.141217	-0.000334	-0.000334	0.000000	
3717700456.759801	2.742831	-57.630131	-54.887299	1.141217	-0.000146	-0.000334	0.000000	
3717700456.860533	2.742831	-58.032033	-55.289202	1.141217	-0.000271	-0.000334	0.000000	
3717700456.960265	2.739705	-58.305702	-55.565997	1.141217	-0.000209	-0.000334	0.000000	
3717700457.060030	2.742831	-57.723960	-54.981129	1.141217	-0.000146	-0.000334	0.000000	
3717700457.161728	2.739705	-57.895981	-55.156275	1.141217	-0.000178	-0.000334	0.000000	
3717700457.261459	2.739705	-57.880342	-55.140637	1.141217	-0.000209	-0.000334	0.000000	
3717700457.361193	2.739705	-58.280681	-55.540976	1.141217	-0.000209	-0.000334	0.000000	
3717700457.460962	2.739705	-58.086767	-55.347062	1.141217	-0.000209	-0.000334	0.000000	
3717700457.561657	2.736579	-58.587191	-55.850611	1.141217	-0.000178	-0.000334	0.000000	
3717700457.661390	2.733453	-58.302575	-55.569122	1.141217	-0.000209	-0.000334	0.000000	
3717700457.761123	2.736579	-58.321341	-55.584761	1.141217	-0.000146	-0.000334	0.000000	
3717700457.860857	2.733453	-58.781105	-56.047652	1.141217	-0.000271	-0.000334	0.000000	
3717700457.961588	2.733453	-58.718552	-55.985099	1.141217	-0.000146	-0.000334	0.000000	
3717700458.061320	2.733453	-58.022650	-55.289197	1.141217	-0.000209	-0.000334	0.000000	
3717700458.161088	2.736579	-57.911619	-55.175040	1.141217	-0.000240	-0.000334	0.000000	
3717700458.260788	2.733453	-58.002321	-55.268867	1.141217	-0.000209	-0.000334	0.000000	
3717700458.361517	2.733453	-58.357309	-55.623855	1.141217	-0.000240	-0.000334	0.000000	
3717700458.461282	2.730327	-58.518382	-55.788055	1.141217	-0.000209	-0.000334	0.000000	
3717700458.560986	2.733453	-58.532457	-55.799004	1.141217	-0.000209	-0.000334	0.000000	
3717700458.660747	2.730327	-59.406634	-56.676307	1.141217	-0.000178	-0.000334	0.000000	
3717700458.761448	2.733453	-59.153295	-56.419842	1.141217	-0.000209	-0.000334	0.000000	
3717700458.861181	2.730327	-59.093869	-56.363542	1.141217	-0.000146	-0.000334	0.000000	
3717700458.961939	2.727201	-59.209592	-56.482391	1.141217	-0.000115	-0.000334	0.000000	
3717700459.062673	2.724075	-58.615339	-55.891265	1.141217	-0.000209	-0.000334	0.000000	
3717700459.162407	2.727201	-58.243149	-55.515948	1.141217	-0.000271	-0.000334	0.000000	
3717700459.262109	2.727201	-58.102405	-55.375204	1.141217	-0.000209	-0.000334	0.000000	
3717700459.361842	2.727201	-57.983555	-55.256354	1.141217	-0.000209	-0.000334	0.000000	
3717700459.462605	2.724075	-58.485542	-55.761467	1.141217	-0.000178	-0.000334	0.000000	
3717700459.562306	2.727201	-59.128274	-56.401073	1.141217	-0.000178	-0.000334	0.000000	
3717700459.662067	2.727201	-59.481698	-56.754497	1.141217	-0.000146	-0.000334	0.000000	
3717700459.761805	2.724075	-58.552786	-55.828712	1.141217	-0.000209	-0.000334	0.000000	
3717700459.863533	2.724075	-58.455829	-55.731755	1.141217	-0.000271	-0.000334	0.000000	
3717700459.963330	2.727201	-57.906927	-55.179726	1.141217	-0.000240	-0.000334	0.000000	
3717700460.063036	2.727201	-57.433089	-54.705888	1.141217	-0.000271	-0.000334	0.000000	
3717700460.162770	2.724075	-57.811534	-55.087459	1.141217	-0.000271	-0.000334	0.000000	
3717700460.263538	2.727201	-58.027342	-55.300141	1.141217	-0.000209	-0.000334	0.000000	
3717700460.363260	2.727201	-57.844374	-55.117173	1.141217	-0.000178	-0.000334	0.000000	
3717700460.462968	2.727201	-57.761492	-55.034291	1.141217	-0.000240	-0.000334	0.000000	
3717700460.564696	2.727201	-57.647333	-54.920132	1.141217	-0.000178	-0.000334	0.000000	
3717700460.664429	2.727201	-58.408915	-55.681714	1.141217	-0.000209	-0.000334	0.000000	
3717700460.764194	2.727201	-58.180596	-55.453395	1.141217	-0.000209	-0.000334	0.000000	
3717700460.863894	2.727201	-57.927257	-55.200056	1.141217	-0.000209	-0.000334	0.000000	
3717700460.965638	2.730327	-57.952278	-55.221951	1.141217	-0.000240	-0.000334	0.000000	
3717700461.065358	2.727201	-57.702067	-54.974866	1.141217	-0.000209	-0.000334	0.000000	
3717700461.165089	2.727201	-57.820917	-55.093716	1.141217	-0.000146	-0.000334	0.000000	
3717700461.264826	2.727201	-57.503461	-54.776260	1.141217	-0.000178	-0.000334	0.000000	
3717700461.365554	2.727201	-57.648897	-54.921696	1.141217	-0.000146	-0.000334	0.000000	
3717700461.465315	2.727201	-57.902236	-55.175035	1.141217	-0.000178	-0.000334	0.000000	
3717700461.565020	2.727201	-57.670790	-54.943589	1.141217	-0.000178	-0.000334	0.000000	
3717700461.664793	2.727201	-57.678609	-54.951408	1.141217	-0.000209	-0.000334	0.000000	
3717700461.765525	2.724075	-58.236894	-55.512819	1.141217	-0.000303	-0.000334	0.000000	
3717700461.865285	2.724075	-58.383894	-55.659819	1.141217	-0.000178	-0.000334	0.000000	
3717700461.965021	2.724075	-57.955406	-55.231331	1.141217	-0.000240	-0.000334	0.000000	
3717700462.065751	2.727201	-58.591882	-55.864681	1.141217	-0.000178	-0.000334	0.000000	
3717700462.166480	2.724075	-58.630978	-55.906903	1.141217	-0.000178	-0.000334	0.000000	
3717700462.266213	2.724075	-58.274426	-55.550351	1.141217	-0.000209	-0.000334	0.000000	
3717700462.365919	2.727201	-58.623159	-55.895958	1.141217	-0.000178	-0.000334	0.000000	
3717700462.466673	2.727201	-58.684148	-55.956947	1.141217	-0.000240	-0.000334	0.000000	
3717700462.566381	2.724075	-58.324468	-55.600393	1.141217	-0.000178	-0.000334	0.000000	
3717700462.666117	2.727201	-58.122735	-55.395534	1.141217	-0.000209	-0.000334	0.000000	
3717700462.765848	2.727201	-58.476159	-55.748958	1.141217	-0.000271	-0.000334	0.000000	
3717700462.866579	2.727201	-58.225947	-55.498746	1.141217	-0.000209	-0.000334	0.000000	
3717700462.966312	2.727201	-57.672354	-54.945153	1.141217	-0.000209	-0.000334	0.000000	
3717700463.066058	2.724075	-57.833428	-55.109353	1.141217	-0.000209	-0.000334	0.000000	
3717700463.165779	2.727201	-57.301728	-54.574527	1.141217	-0.000146	-0.000334	0.000000	
3717700463.266538	2.727201	-56.990527	-54.263326	1.141217	-0.000209	-0.000334	0.000000	
3717700463.366242	2.727201	-57.015548	-54.288347	1.141217	-0.000209	-0.000334	0.000000	
3717700463.466004	2.724075	-57.272015	-54.547940	1.141217	-0.000178	-0.000334	0.000000	
3717700463.565742	2.727201	-57.223537	-54.496336	1.141217	-0.000115	-0.000334	0.000000	
3717700463.666469	2.727201	-58.462085	-55.734884	1.141217	-0.000271	-0.000334	0.000000	
3717700463.766173	2.727201	-58.964072	-56.236871	1.141217	-0.000209	-0.000334	0.000000	
3717700463.865907	2.730327	-58.612212	-55.881885	1.141217	-0.000178	-0.000334	0.000000	
3717700463.966638	2.727201	-58.732626	-56.005425	1.141217	-0.000178	-0.000334	0.000000	
