chamber,meas_ID,meas_idx,Va_rail,Eout_rail,circuitValuesKnown,RsolA,RsolB,Ra,Ca,Rb,Cb,Rs,Rsolg,R1g,C1g,R2g,C2g,tau1,tau2,tauMEM12,TER12,TEC12,resnormbest12,RsolAg,RsolBg,Rag,Cag,Rbg,Cbg,Rsg,taua,taub,tauMEMabs,TERabs,TECabs,resnormbestabs,simVSmeasured,rsme_simVSmeasured,RsolAg_sim,RsolBg_sim,Rag_sim,Cag_sim,Rbg_sim,Cbg_sim,Rsg_sim,taua_sim,taub_sim,tauMEMabs_sim,TERabs_sim,TECabs_sim,resnormbestabs_sim,dRsolA,dRsolB,dRa,dCa,dRb,dCb,dRs,dRsolA_sim,dRsolB_sim,dRa_sim,dCa_sim,dRb_sim,dCb_sim,dRs_sim
model,20221209_154342,3,0,0,1,99.2,0.28,9837,2.35e-06,9790,2.34e-06,10029,101.865250189498,12.721260750594,0.000182408784687967,6624.32921668498,1.17886478351317e-06,0.00232046971321458,0.00780918842794728,0.00233098996195974,6637.05047743557,1.17129498139517e-06,5.24376323728502e-05,181.407186274929,7.90885599871072,35671.7398227157,1.96639334026272e-06,30017.064267727,3.05206224356427e-06,7332.02780443717,0.0701446716229726,0.0916139485141716,0.0818033777000424,6595.81828271562,1.19589677931062e-06,0.742176302329877,1,4.85795649271247,199.999997486031,6.3078582496467e-15,12372.3272643896,1.34496560399436e-06,2286.31968524633,1.07050503598315e-05,11999.4685347933,0.0166403546119657,0.024475167369236,0.0232531660004391,6598.21482645835,1.19484692520105e-06,0.567655068515888,82.207186274929,7.62885599871072,25834.7398227157,-3.83606659737281e-07,20227.064267727,7.12062243564267e-07,-2696.97219556283,100.799997486031,-0.279999999999994,2535.32726438956,-1.00503439600564e-06,-7503.68031475367,8.3650503598315e-06,1970.46853479329
model,20221025_172653,3,1,0,1,0.4,0.3,9837,2.35e-06,994,1.01e-06,10029,62.5616060800616,916.879454224978,1.06495554926166e-06,4222.97101411389,2.90982117315016e-06,0.000976435862780897,0.012288090470468,0.00299428127812223,5139.85046833887,7.79623717788363e-07,0.000147890057182231,13.5329844173156,55.3015352224658,9129.09854467034,2.42512725463949e-06,935.200591171679,1.16422128004536e-06,10499.0429469805,0.0221392256909697,0.00108878042935306,0.0030448420077477,5138.53771594508,7.86600891327809e-07,0.417140125681433,0,34.7597637034348,6.9968282129647,4.76066380515688e-10,9816.60544535762,2.35509744842219e-06,992.870498119746,1.01675624532926e-06,10034.1321860568,0.0231190624365291,0.00100950727976643,0.0030403111000892,5203.69169314627,7.10161310818363e-07,0.000465704542993651,13.1329844173156,55.0015352224658,-707.901455329664,7.51272546394856e-08,-58.7994088283215,1.54221280045356e-07,470.042946980526,6.5968282129647,-0.299999999523934,-20.3945546423802,5.0974484221894e-09,-1.12950188025445,6.75624532926063e-09,5.13218605680413
model,20221129_172548,1,0,0,1,99.2,0.28,99.2,2.35e-06,994,9.2e-08,100.3,68.773888635529,102.384326303157,4.39622983317924e-08,21.5321128368073,7.29351751559836e-07,4.50105029743895e-06,1.57044842123094e-05,1.37577400604521e-05,123.916439139964,4.14630760884045e-08,0.0443878028118687,106.869240061832,2.02315175726951e-10,960.669371963169,2.07051657314068e-07,801.287889305402,2.2214602288181e-07,90.2700988001265,0.000198908185595839,0.000178002917792555,0.000187510037109057,85.8706978879823,1.07166707383917e-07,0.0508250300794095,1,2.12342533624542,102.067323108776,1.17608675775079e-08,1446.66226172481,1.80969438058456e-07,1206.77687477591,1.97952072698792e-07,92.3598079529812,0.000261801656564715,0.000238883983646862,0.000249306878719336,89.253122322432,9.4540094298729e-08,0.00182185156675605,7.66924006183235,-0.279999999797685,861.469371963169,-2.14294834268593e-06,-192.712110694598,1.3014602288181e-07,-10.0299011998735,2.86732310877565,-0.279999988239132,1347.46226172481,-2.16903056194154e-06,212.776874775909,1.05952072698792e-07,-7.94019204701875
model,20221209_152118,1,0,0,1,99.2,0.28,9837,2.35e-06,994,2.34e-06,100.3,100.322605479135,1.81346822312697,0.000999999979913468,97.3667135305654,1.17825833203746e-06,0.00181346818670068,0.000114723141480494,0.00178240734264666,99.1801817536924,1.17687167315498e-06,0.0289926983873478,92.8018217691366,8.42819503915983,15107.4143182964,1.58679336715692e-06,601.960473479932,4.95754716205316e-06,98.7274282465772,0.0239723448351641,0.00298424743696862,0.00378848090995664,98.1108390474109,1.20204670264356e-06,0.846336167013097,1,1.84088718714002,101.832219136101,6.45907705648012e-12,17539.4825829199,1.48416112199743e-06,857.317776851007,7.25031337889993e-06,97.0675770074702,0.0260314181495208,0.0062158225474716,0.00713925825565466,96.5581046494805,1.2319725975679e-06,0.38850828284057,-6.39817823086337,8.14819503915983,5270.41431829637,-7.63206632843082e-07,-392.039526520068,2.61754716205316e-06,-1.57257175342282,2.63221913610106,-0.279999999993541,7702.48258291988,-8.65838878002566e-07,-136.682223148993,4.91031337889993e-06,-3.23242299252981
model,20221102_170734,3,0,0,1,0.4,98.7,99.2,2.35e-06,9790,1.01e-06,10029,106.427497293253,109.302958005464,2.26762679625449e-06,4857.65053670151,1.04016813876621e-06,0.000247858316483069,0.00505277331753749,0.000353595449544561,4966.95349470697,7.13077198076566e-07,0.000412428550493733,30.1714936853396,156.817675852086,77.5040893340378,3.96036749195382e-06,10632.7966076822,1.03647681489032e-06,9064.74736042434,0.000306944675892008,0.0110206471613071,0.000384473381949648,4909.5289018071,8.21484287239672e-07,0.637107590996071,1,9.37179581860288,1.54598108495051e-08,123.23027229205,97.0726782522326,2.11262068666481e-06,9391.58421892728,1.01697250434733e-06,10414.5016640963,0.000205077748185624,0.00955098292291132,0.000300690020378931,4965.02264911767,6.86503650577872e-07,0.0508669021165807,29.7714936853396,58.117675852086,-21.6959106659622,1.61036749195382e-06,842.796607682218,2.64768148903236e-08,-964.252639575665,-0.399999984540189,24.5302722920504,-2.12732174776741,-2.37379313335187e-07,-398.415781072719,6.97250434732765e-09,385.50166409626
model,20221212_154031,2,0,0,1,99.2,98.7,99.2,9.2e-08,9790,1.01e-06,1000.9,199.999999998428,94.0733332993444,8.74531886813075e-08,811.615217581196,1.2338060363206e-06,8.2270129669071e-06,0.00100137575462133,0.000111384784475277,905.68855088054,8.16647256259087e-08,0.000876666688128702,99.749543167264,100.39737155882,99.2670853783683,2.32471284502309e-07,1777.68365909986,1.11555853363901e-06,1744.06859983457,2.30767468467097e-05,0.00198311017601946,0.000126737861199625,904.035727404226,1.92381000599933e-07,0.0608131728674738,1,3.85524646991253,92.1991240394238,102.559530379752,96.7514688759502,1.00220204423228e-07,1673.7143930381,1.1004435572462e-06,1877.46137134056,9.69645198899529e-06,0.001841828220489,0.000109817806255059,911.19725051511,9.18547571637319e-08,0.00317653514094716,0.549543167263991,1.69737155882024,0.0670853783683043,1.40471284502309e-07,-8012.31634090014,1.05558533639006e-07,743.168599834565,-7.00087596057618,3.85953037975167,-2.44853112404984,8.22020442322777e-09,-8116.2856069619,9.04435572461979e-08,876.561371340558
model,20221117_173404,2,0,0,1,0.4,98.7,9837,1.07e-06,994,9.2e-08,1000.9,100.161342915668,519.265889778117,8.6507169189304e-08,394.99420471444,4.57488477642305e-06,4.49202221812701e-05,0.00180705297392342,0.00104574639490011,914.260094492557,8.49017495188575e-08,0.0022487309939559,14.4922459720088,85.8501003477866,4901.22332635832,1.24746863052329e-06,931.451667057313,9.11675120836406e-08,1084.09374591716,0.006114122350821,8.49181311117748e-05,0.00104775462171288,914.179253438396,8.49585692686539e-08,0.00362031915322232,1,2.69904260082655,8.21629399897519,90.6485909769362,4621.91235964224,1.26667814219153e-06,925.528561466187,9.06960459599935e-08,1097.66911879051,0.00585447536108371,8.3941780948024e-05,0.00104669086097756,916.351204247043,8.46359832119468e-08,0.000213413265430551,14.0922459720088,-12.8498996522134,-4935.77667364168,1.77468630523288e-07,-62.548332942687,-8.32487916359401e-10,83.1937459171576,7.81629399897519,-8.05140902306378,-5215.08764035776,1.96678142191533e-07,-68.4714385338129,-1.30395404000648e-09,96.7691187905117
model,20221204_142034,3,0,0,1,99.2,0.28,988,2.35e-06,9790,2.34e-06,10029,102.496140259949,4105.2845578331,2.99168052788311e-06,1083.36701774453,1.93100852187291e-06,0.0122816998730885,0.00209199094358072,0.00421955615273947,5188.65157557763,1.17353757990256e-06,9.36418291761817e-05,165.309788187453,7.91859941398552,1113.22840309299,2.10844605588206e-06,4035.3443088314,3.09830356398806e-06,4875648.43176658,0.0023471820357973,0.0125027216539713,0.00454302072435333,5143.14167249668,1.25464184113753e-06,0.727655353116634,1,5.22942455412668,199.99999999998,4.5613480299718e-07,3012.49087680566,1.90480836015434e-06,2137.22617391602,9.25360557629702e-06,4935327.42716342,0.00573821780702811,0.0197770480407572,0.0139506783332245,5144.34923200127,1.57964611849728e-06,0.752011755952763,66.1097881874534,7.63859941398552,125.228403092989,-2.41553944117935e-07,-5754.6556911686,7.58303563988062e-07,4865619.43176658,100.79999999998,-0.279999543865197,2024.49087680566,-4.45191639845659e-07,-7652.77382608398,6.91360557629702e-06,4925298.42716342
model,20221108_173449,3,1,0,1,0.4,98.7,9837,9.2e-08,994,1.01e-06,10029,103.505563954028,5175.31167430305,8.51987456215019e-08,22.6700665639804,5.42912959390612e-06,0.000440930062850934,0.000123078729278328,0.000124464980952297,5197.98174086703,8.38823883412426e-08,0.000954593191773225,5.60142758465603e-14,139.976216149112,8759.42951297869,9.32462440876719e-08,1275.8797842833,9.65350444733307e-07,10691.0146159511,0.000816783902435967,0.00123167111718411,0.00117892274696705,5176.39494692165,8.50326702797454e-08,1.51617832933212,1,11.6177632360956,5.65535436899387e-09,111.948875475595,6585.55528087808,9.23814939850135e-08,689.571095529355,1.00461479698429e-06,18205.4662761191,0.000608383435568412,0.000692753326141457,0.000684756346451755,5197.95868590432,8.46017589930545e-08,0.0432012603291546,-0.399999999999944,41.2762161491116,-1077.57048702131,1.24624408767185e-09,281.879784283296,-4.46495552666935e-08,662.014615951057,-0.399999994344646,13.2488754755946,-3251.44471912192,3.81493985013526e-10,-304.428904470645,-5.38520301571075e-09,8176.46627611913
model,20221213_174509,3,0,0,1,99.2,98.7,988,9.2e-08,994,2.34e-06,10029,199.999999999982,1376.87544141566,5.82162486025309e-08,286.018307980503,1.89363542648168e-07,8.01565229921734e-05,5.4161440061423e-05,5.8632603440542e-05,1662.89374939616,4.45272007839234e-08,0.00101611992229356,19.766552496847,199.99999999999,661753.492109764,9.32524575363991e-08,656508.985913342,9.34424150057393e-08,1644.77377961616,0.0617101394225296,0.0613457851167116,0.0615272375056049,1642.72418046257,4.66736698162641e-08,0.0131378596715676,0,472.631895911561,84.2553014782216,107.754083195807,991.503403545876,9.13548967534335e-08,983.813599979433,2.36394407663909e-06,10375.8906756666,9.05786910616114e-05,0.00232568033218836,0.001212480077266,1659.40641682295,8.79558332376373e-08,0.0183600902510581,-79.433447503153,101.29999999999,660765.492109764,1.25245753639913e-09,655514.985913342,-2.24655758499426e-06,-8384.22622038384,-14.9446985217784,9.05408319580694,3.50340354587559,-6.45103246566493e-10,-10.1864000205666,2.39440766390873e-08,346.890675666593
