C1g,C2g,Ca,Cag,Cag_sim,Cb,Cbg,Cbg_sim,Eout_rail,R1g,R2g,Ra,Rag,Rag_sim,Rb,Rbg,Rbg_sim,Rs,Rsg,Rsg_sim,RsolA,RsolAg,RsolAg_sim,RsolB,RsolBg,RsolBg_sim,Rsolg,TEC12,TECabs,TECabs_sim,TER12,TERabs,TERabs_sim,Va_rail,chamber,circuitValuesKnown,dCa,dCa_sim,dCb,dCb_sim,dRa,dRa_sim,dRb,dRb_sim,dRs,dRs_sim,dRsolA,dRsolA_sim,dRsolB,dRsolB_sim,meas_ID,meas_idx,resnormbest12,resnormbestabs,resnormbestabs_sim,rsme_simVSmeasured,simVSmeasured,tau1,tau2,tauMEM12,tauMEMabs,tauMEMabs_sim,taua,taua_sim,taub,taub_sim
9.12265174636872e-08,3.13787628237449e-07,9.2e-08,1.02910323562284e-07,9.83194605663554e-08,2.34e-06,9.31401389435165e-07,7.60310342567152e-07,0,896.889620997057,16.7612000975703,9837,14177.1076784484,15120.1006707987,994,2424.34444542955,2883.05256341558,1000.9,942.451318265812,971.490169956063,99.2,23.4462065000645,92.2471406228457,98.7,199.999958494571,98.2368548447828,199.99922256234,7.0678401856156e-08,9.26711136968145e-08,8.70611554262576e-08,913.650821094628,891.82321886763,921.750465750932,0,model,1,1.09103235622838e-08,6.3194605663554e-09,-1.40859861056483e-06,-1.57968965743285e-06,4340.10767844843,5283.10067079874,1430.34444542955,1889.05256341558,-58.4486817341877,-29.4098300439374,-75.7537934999355,-6.95285937715427,101.299958494571,-0.463145155217248,20221216_162708,2,0.000963685998938245,0.00353841901639237,0.0193298381747495,4.34454291193338,1,8.18201166728879e-05,5.25945722502988e-06,6.66398563235955e-06,0.00214134836877354,0.00207904851599706,0.00145897073836647,0.00148660014166192,0.00225803778494251,0.00219201468212961
9.15317826824373e-08,2.43150878137109e-06,2.35e-06,1.67446765480618e-06,6.31498132917207e-07,9.2e-08,9.84192609647711e-08,1.32241169684888e-07,0,900.789968596146,89.0430754465266,99.2,171.066990453083,98793.1422481433,994,1380.11687747105,468583.88908541,10029,2599.57790270713,906.762037510909,99.2,123.021471110587,186.762043791748,0.28,2.83231210020795e-12,2.05903053832507e-20,103.611035505305,8.82111593994074e-08,9.29556575940848e-08,1.09343661464418e-07,989.833044042672,971.489940623136,905.315194573873,0,model,1,-6.75532345193818e-07,-1.71850186708279e-06,6.41926096477107e-09,4.02411696848878e-08,71.8669904530833,98693.9422481433,386.116877471049,467589.88908541,-7429.42209729287,-9122.23796248909,23.8214711105869,87.5620437917484,-0.279999999997168,-0.28,20221129_172548,3,0.00147397623745637,0.0358238004873982,0.48107068841927,8.27179456606361,1,8.24509116480619e-05,0.000216509019868518,0.000204449464657328,0.000269835967024334,0.0623142742303701,0.000286446142318726,0.0623876848747265,0.000135830083125708,0.0619660815881484
1.20307704936861e-07,2.83485688822215e-07,1.07e-06,2.48960298150479e-06,1.08839333619477e-06,9.2e-08,9.06823894469456e-08,9.30472622280352e-08,0,676.964657777126,235.312109196809,988,61.1841967089128,943.960151270078,9790,837.047476006984,9382.54041743933,1000.9,236704.062322438,998.829860765236,0.35,23.9736101519069,6.36102566005074,0.28,6.68648450994537e-12,6.53806114727983e-10,3.12821208963411,8.44627800547797e-08,8.74954180179775e-08,8.57190960725038e-08,912.276766973935,894.8359978497,910.73873645156,0,model,1,1.41960298150479e-06,1.83933361947734e-08,-1.31761055305439e-09,1.04726222803519e-09,-926.815803291087,-44.0398487299216,-8952.95252399302,-407.459582560668,235703.162322438,-2.07013923476427,23.6236101519069,6.01102566005074,-0.279999999993314,-0.279999999346194,20221019_162423,2,0.00144869397805485,0.200668251124594,0.00263480588696031,2.89459563184025,1,8.14440643005336e-05,6.67076153638658e-05,7.05087259554035e-05,0.000147118988101778,0.00101328782028957,0.000152324358547485,0.00102739993827576,7.59054652048482e-05,0.000873019698586616
5.34535895783335e-07,8.12501098486348e-06,1.07e-06,1.30240911541896e-06,1.06570244798461e-06,1.01e-06,7.66465701939717e-07,1.01400955620266e-06,0,65.2349489089798,1.96440051386869,99.2,73.1350596290846,97.9588361175395,98.9,64.0547809006707,96.8307991292817,100.3,132.394760342187,101.163905331029,0.35,2.07510655301472e-09,4.80587444879864e-09,0.28,3.93210854387929e-07,0.63304275041613,3.59510847976726e-05,5.01540101913397e-07,4.82509578871835e-07,5.19606784088003e-07,67.1993494228485,67.3748277890238,66.5836947958106,0,model,1,2.32409115418959e-07,-4.29755201538881e-09,-2.43534298060283e-07,4.00955620265986e-09,-26.0649403709154,-1.24116388246053,-34.8452190993294,-2.06920087071829,32.0947603421872,0.863905331029287,-0.349999997924893,-0.349999995194126,-0.279999606789146,0.35304275041613,20221003_190933,1,0.0788020037491084,0.384974567525644,5.80876223218829e-06,1.42129218944585,1,3.48704218514416e-05,1.59607757538546e-05,1.65135507260859e-05,7.06463017400679e-05,0.000101273189237762,9.52517683176288e-05,0.000104394971452185,4.90957926056273e-05,9.81873556518319e-05
1.05304462480175e-07,9.26413936077861e-06,9.03e-08,1.14658478526253e-06,8.39936206961936e-08,2.34e-06,5.85069724891337e-06,5.85223256820725e-06,0,47.3125396467456,41.2251660947798,99.2,24.9320333218245,65.6002984203928,994,252.720798940133,86.8776749606285,100.3,74.9852924617132,235.657602819724,0.35,18.1768359502285,0.000922243092324054,0.28,15.5847729333967,9.14772523229353e-10,3.69444267824984,1.04120931202608e-07,9.58703738968481e-07,8.28051672759308e-08,88.5377057415254,59.040351482984,92.5774288497498,0,model,1,1.05628478526253e-06,-6.30637930380635e-09,3.51069724891337e-06,3.51223256820725e-06,-74.2679666781755,-33.5997015796072,-741.279201059867,-907.122325039372,-25.3147075382868,135.357602819724,17.8268359502285,-0.349077756907676,15.3047729333967,-0.279999999085227,20220930_171215,1,0.128224148336352,0.373749098286758,0.20081320002446,1.50882407595826,1,4.98222155607253e-06,0.000381915683873285,0.000206406905318846,0.000158791026282374,0.000221879579568353,2.85866900724624e-05,5.51000658307958e-06,0.00147859288310223,0.000508428358854714
2.89341204147589e-06,9.77393610547938e-07,1.07e-06,1.15251209593325e-06,1.13689032511211e-06,2.34e-06,2.4503199093786e-06,3.00354843861582e-06,0,4218.34402451775,971.96784566816,988,961.917721641247,978.99205420455,9790,8279.52764918647,4210.9587020125,10029,11639.5493852204,457305.091108617,99.2,141.345753696683,199.99999999999,0.28,14.6831236260291,1.10282972803934e-07,101.322367348617,7.30597890013516e-07,7.83834308760802e-07,8.24720604681374e-07,5190.31187018591,5151.39537370026,5131.7110208388,0,model,1,8.25120959332541e-08,6.68903251121056e-08,1.103199093786e-07,6.63548438615824e-07,-26.0822783587529,-9.00794579544993,-1510.47235081353,-5579.0412979875,1610.54938522037,447276.091108617,42.1457536966831,100.79999999999,14.4031236260291,-0.279999889717027,20221201_133216,3,9.9383382443806e-05,0.443710688490439,0.80740900298612,5.47045856874089,1,0.0122054073956275,0.000949995162014104,0.00305774881043224,0.00310489986312759,0.00328884402914042,0.00110862180948409,0.00111300659478678,0.0202874914390522,0.0126478184345054
1.17388611738405e-07,7.51791098315138e-08,9.2e-08,8.13665209978053e-08,8.03665171897892e-08,9.2e-08,9.77833286319515e-08,1.19031619979147e-07,0,4098.26259893682,1087.7382807715,988,1097.85473386813,1039.52037522059,9790,8523.69624252405,4132.86294097165,10029,11231.429984926,472538.085605026,99.2,1.23052183569097e-09,199.999999999986,0.28,131.040406366662,1.20262275865009e-06,105.25388423887,4.58289232634773e-08,4.44113644460768e-08,4.79751559819129e-08,5186.00087970831,5182.17401810326,5116.37962586064,0,model,1,-1.06334790021947e-08,-1.16334828102108e-08,5.78332863195153e-09,2.70316199791474e-08,109.854733868134,51.5203752205916,-1266.30375747595,-5657.13705902835,1202.42998492598,462509.085605026,-99.1999999987695,100.799999999986,130.760406366662,-0.279998797377241,20221201_115402,3,0.000613968791899446,0.0203910117991367,0.775937761358547,9.61275335297312,1,0.000481089357028619,8.17751956780624e-05,0.000165529384971528,0.000174238533094706,0.000165620619051577,8.93286202558215e-05,8.35426321043018e-05,0.00083347539084166,0.000491941371015638
5.08875534189236e-11,0.00027444781178239,2.35e-06,3.59945363392722e-06,2.10936489370643e-06,1.01e-06,8.25919951956546e-11,1.04355622507173e-06,0,906.115551504878,44.4344916104366,9842,6289.9674721426,10194.7262516478,9793,6020.70386565982,10163.198983089,1000.9,795.644488552883,1002.59129994488,99.2,199.999999999867,94.9406871734811,98.7,199.99999999999,96.1696538328394,199.999999999986,5.0887543983459e-11,8.25901001077205e-11,6.9815919360144e-07,950.550043115314,747.34333660814,955.533013077465,0,model,1,1.24945363392722e-06,-2.40635106293571e-07,-1.0099174080048e-06,3.35562250717279e-08,-3552.0325278574,352.726251647755,-3772.29613434018,370.19898308902,-205.255511447117,1.69129994487764,100.799999999867,-4.25931282651892,101.29999999999,-2.53034616716063,20221219_155527,2,0.188204143624767,0.434419107023855,0.00900540414112043,517.141076599797,0,4.61100035309219e-08,0.0121949489901473,0.0116248850428122,0.0110728770534517,0.0160466946167061,0.0226404462748877,0.0215043976561731,4.97261944747035e-07,0.0106058695654452
8.48904290243064e-08,4.417620281628e-06,1.07e-06,3.65175322416945e-06,1.08306680642339e-06,9.2e-08,0.0001598166595819,9.31768156405644e-08,0,52.3950131435397,47.577366913005,9837,25558.2512754138,7621.29564570655,98.9,491131.89768144,97.7029570874815,100.3,51.9628024661968,100.250239270144,0.4,17.3498522497722,0.793408890809857,0.28,30.7198480915234,0.223139999922946,0.0345813382692512,8.32899031392971e-08,3.57017598621063e-06,8.5795760551244e-08,99.9723800565447,51.9575771656481,98.9649354415135,0,model,1,2.58175322416945e-06,1.30668064233882e-08,0.0001597246595819,1.17681564056435e-09,15721.2512754138,-2215.70435429345,491032.99768144,-1.19704291251853,-48.3371975338032,-0.0497607298558336,16.9498522497722,0.393408890809857,30.4398480915234,-0.0568600000770544,20221020_162243,1,0.093791211998154,1.73913973547859,8.96547147019881e-06,1.52319133134842,1,4.44783514448926e-06,0.000210178741021348,0.000112270350836859,3.97130224446361,0.000113467852824676,0.0933324264991256,0.00825437233580387,78.491059301567,9.10365042007823e-06
0.000332370832919707,8.84304131797651e-08,2.35e-06,7.29165065809174e-07,8.94875889670226e-07,9.2e-08,1.03873599636575e-07,1.23538691253787e-07,0,37.7764698751561,910.25194613028,9837,31623.1784930722,24898.1620846848,9790,25542.0241499561,20695.4774623118,1000.9,931.269891227504,870.516152093128,99.2,116.873582193515,188.997855800455,0.28,7.22953933332117e-10,1.25708668411279e-09,102.69688966237,8.84068916875476e-08,9.09213500603974e-08,1.08552841166241e-07,948.028416005436,916.341900379255,854.206840976777,0,model,1,-1.62083493419083e-06,-1.45512411032977e-06,1.18735996365754e-08,3.15386912537868e-08,21786.1784930722,15061.1620846848,15752.0241499561,10905.4774623118,-69.6301087724963,-130.383847906872,17.6735821935155,89.7978558004546,-0.279999999277046,-0.279999998742913,20221209_153103,2,0.000696594336628698,0.0506515419732086,0.528323917966138,2.80022604697761,1,0.0125557967571719,8.0493955693986e-05,0.0120586883451169,0.0117704818733738,0.0115096757096269,0.0230585170269963,0.0222807649466858,0.00265314199046028,0.00255669220056623
2.39888943846585e-06,1.04992999029217e-06,1.07e-06,2.03983703946309e-06,1.40042859032307e-06,2.34e-06,2.34865019860604e-06,2.33176644587219e-06,0,4871.21183303966,100.355028472709,99.2,84.6362864374542,98.0249427600516,9790,9939.30123007177,9813.44573844604,10029,9829.2352507962,10029.0654747642,0.4,17.3124863786035,5.11243518807361e-11,98.7,84.0401897071762,85.1239742134028,101.041072398109,7.30298009759083e-07,1.09168909648393e-06,8.749468784687e-07,4971.56686151237,4962.81582515154,4984.9606668304,0,model,1,9.69837039463095e-07,3.30428590323066e-07,8.6501986060419e-09,-8.23355412780853e-09,-14.5637135625458,-1.17505723994843,149.301230071773,23.4457384460366,-199.764749203805,0.0654747641547146,16.9124863786035,-0.399999999948876,-14.6598102928238,-13.5760257865972,20221026_180613,3,9.81831197874841e-05,0.163218350800773,0.0440235778404676,6.73810240074415,1,0.0116854986188087,0.000105365754070121,0.000339119939768645,0.00036828916445502,0.000362229947675244,0.000172644231957727,0.000137276932405958,0.0233439418080133,0.0228826634912959
7.29514392378086e-07,2.87521994559947e-05,2.35e-06,2.34703867684926e-06,8.10812612002956e-07,1.01e-06,1.02613989315428e-06,7.0211611368004e-06,0,5999.86661824652,614.961427869591,9837,9915.39930009938,9398.22188411651,9790,9580.40500740691,2861.95386626657,10029,9991.15309173459,14150.0006991785,99.2,125.352988221078,199.99999999494,0.28,16.5631238772123,1.68502956343767e-17,120.890596936466,7.11462821447581e-07,7.1398236621921e-07,7.26872456830257e-07,6614.82804611611,6605.82110407256,6568.7367053866,0,model,1,-2.96132315074455e-09,-1.53918738799704e-06,1.61398931542776e-08,6.0111611368004e-06,78.3993000993778,-438.77811588349,-209.594992593085,-6928.04613373343,-37.8469082654137,4121.00069917852,26.1529882210778,100.79999999494,16.2831238772123,-0.28,20221209_153729,3,0.000154485216946057,0.160899993842534,0.650048765881473,17.0245931220354,0,0.00437698905035968,0.0176814936318497,0.0164446123285883,0.0164358531759132,0.0171823614317358,0.0232718256537373,0.00762019683404385,0.00983083577067524,0.0200942392611465
8.65803207749428e-08,2.86964537353863e-06,2.35e-06,2.45369807388819e-06,2.48241481207385e-06,9.2e-08,4.98066291456509e-08,4.59116919822899e-08,0,93.5209471394463,426.310556399362,988,691.891108452451,643.808499130032,98.9,129.454842194386,132.004596218089,1000.9,1638.33003951847,1948.08787105173,99.2,105.791839632019,105.010392925883,98.7,66.7174781653355,58.8697193657567,199.999999944026,8.40446037084444e-08,4.88157381344033e-08,4.50779849997087e-08,519.831503538808,547.078456334053,554.848395699316,0,model,1,1.0369807388819e-07,1.3241481207385e-07,-4.21933708543491e-08,-4.60883080177101e-08,-296.108891547549,-344.191500869968,30.554842194386,33.104596218089,637.430039518474,947.187871051732,6.59183963201947,5.81039292588338,-31.9825218346645,-39.8302806342433,20221214_164243,2,0.00216984579915674,0.0113967510135745,0.000878189660230524,4.11932327507656,1,8.09707360250973e-06,0.00122336011586211,0.00022673051532734,0.000273009865098571,0.00027696303523191,0.00169769188015014,0.00159819975437943,6.44770931628455e-06,6.06055436181145e-06
1.70283902908686e-05,8.90647908239722e-08,2.35e-06,2.43676076614895e-06,2.44633933006303e-06,9.2e-08,9.24413178735536e-08,9.20295744622111e-08,0,133.72178731958,5049.06924744811,988,951.009735222581,926.922059501444,9790,9544.53461840706,9288.58774213196,10029,10183.7173974608,10548.3796271746,0.35,28.2375631008665,10.230753737965,0.28,1.22012284785208e-09,1.33531730138331e-08,8.39476148972895,8.86013728143054e-08,8.90626249236377e-08,8.86930056283442e-08,5182.79103476769,5168.63991163724,5189.63828247175,0,model,1,8.67607661489503e-08,9.63393300630298e-08,4.41317873553624e-10,2.95744622110537e-11,-36.9902647774192,-61.0779404985564,-245.465381592941,-501.412257868042,154.717397460778,519.379627174641,27.8875631008665,9.88075373796501,-0.279999998779877,-0.279999986646827,20221019_173501,3,0.000741754148158583,0.295222355365863,0.0706099352717051,9.92265627282401,1,0.00227706678487034,0.000449694296379717,0.00222991853721374,0.00218735001231644,0.00213937836665383,0.00231738321101609,0.00226756589006141,0.000882309358615304,0.000854824777263314
8.64272320686914e-08,4.34753780058742e-06,9.2e-08,1.06529969795933e-07,8.9589366313789e-08,1.01e-06,1.27323755415077e-06,1.10443528450008e-06,0,518.245983395607,395.03431852829,988,846.472080347172,938.859940324817,9790,4724.71780185031,5913.18109303508,1000,1040.14189303923,1056.93297480391,0.35,1.51426686268165e-12,0.00151140519762344,0.28,44.7905811179595,3.5913864691033e-08,2.80074526374578,8.47425849440431e-08,9.83049360364334e-08,8.28673488487095e-08,913.280301923897,876.499348021664,915.687433716693,0,model,1,1.45299697959327e-08,-2.41063368621104e-09,2.6323755415077e-07,9.44352845000793e-08,-141.527919652828,-49.1400596751829,-5065.28219814969,-3876.81890696492,40.1418930392294,56.932974803912,-0.349999999998486,-0.348488594802377,44.5105811179595,-0.279999964086135,20221018_183936,2,0.00202157822910422,0.283186293760328,0.146544450761635,2.18805411615457,1,4.47905658755993e-05,0.00171742663233103,0.000993937198401337,0.000990481732066133,0.000967420589728615,9.01746451524845e-05,8.41118671111021e-05,0.00601568813808049,0.00653072584278669
5.4356218824493e-07,1.15448946654178e-05,1.07e-06,1.16269625767289e-06,1.10298680842733e-06,1.01e-06,1.12113754532598e-06,1.02078318549725e-06,0,721.743066908595,190.634321439468,988,941.166788728953,979.290405504589,9790,8680.32462621847,9800.79993650007,1000.9,964.463644996511,991.369349817707,0.35,9.76896143855563e-12,10.9244589926626,0.28,52.1681147598508,6.28860140344495e-10,3.14742994339012,5.19120701952153e-07,5.70769390739127e-07,5.30147045625827e-07,912.377388348063,876.593432318234,907.878158963888,0,model,1,9.26962576728917e-08,3.29868084273321e-08,1.11137545325982e-07,1.07831854972499e-08,-46.8332112710472,-8.70959449541078,-1109.67537378153,10.7999365000669,-36.4363550034891,-9.53065018229267,-0.349999999990231,10.5744589926626,51.8881147598508,-0.27999999937114,20221019_163202,2,0.00175785080082614,0.454103787460677,0.0241942759515356,3.46456364773927,1,0.000392312240799442,0.00220085316063206,0.00182297227992321,0.00193920919096286,0.0018908544660661,0.00109429110310117,0.00108014439889101,0.00973183784407125,0.0100044917796018
1.18037726229865e-07,6.22948880908429e-08,9.2e-08,8.90062881745056e-08,8.81786459006959e-08,9.2e-08,2.15902715878869e-07,7.39070934811107e-08,0,410.004599329883,119.829693746856,988,2783.7677028853,1050.74307105251,98.9,75.1751602770448,95.2390168778325,1000.9,601.31969049867,975.101016819216,99.2,6.57354873531619e-08,93.5981746300859,0.28,124.609450261225,2.12804195304702e-09,91.2970915141485,4.07754691168064e-08,6.30243747862859e-08,4.02072844315383e-08,529.834293076739,496.82317771271,526.829098159936,0,model,1,-2.99371182549439e-09,-3.82135409930408e-09,1.23902715878869e-07,-1.80929065188893e-08,1795.7677028853,62.7430710525123,-23.7248397229552,-3.66098312216755,-399.58030950133,-25.7989831807841,-99.1999999342645,-5.60182536991411,124.329450261225,-0.279999997871958,20221129_180621,2,0.00325421832310331,0.0246981393743437,0.00107557798136556,2.33308837860257,1,4.83960106486861e-05,7.46477736192036e-06,1.67219681733197e-05,2.23188661695488e-05,1.41539747142483e-05,0.000247772830373891,9.26531011949493e-05,1.62305212704433e-05,7.03883892343904e-06
2.85663281524794e-06,9.02884891333585e-08,2.35e-06,2.37508799879355e-06,2.52767893944599e-06,9.2e-08,9.11871041873315e-08,9.14118171380947e-08,0,744.150172353653,911.535987841077,988,978.678527357486,911.625842450503,994,994.918496932914,983.300534053974,10029,10256.9307318123,13453.2988729351,99.2,114.28012275928,128.370354435203,98.7,86.9422594907412,62.1261316746427,199.999999999716,8.752220852116e-08,8.78155873764043e-08,8.8221351022523e-08,1655.68616019473,1655.1246499201,1660.97450819296,0,model,1,2.50879987935545e-08,1.77678939445987e-07,-8.12895812668488e-10,-5.88182861905301e-10,-9.32147264251398,-76.3741575494973,0.918496932914309,-10.6994659460261,227.930731812257,3424.29887293507,15.0801227592804,29.1703544352026,-11.7577405092588,-36.5738683253574,20221214_170355,3,0.000948955988192152,0.00912695939011663,0.0382888025224121,6.53407580264435,1,0.00212576380181785,8.23012071328542e-05,0.0012073270360879,0.00121677590748313,0.00123897091043129,0.00232444762500371,0.00230429744261684,9.07237366377249e-05,8.98852886107327e-05
2.59166185628502e-05,1.23213582167885e-06,2.35e-06,1.69605088479236e-06,1.32136138253601e-06,2.34e-06,4.08174216774538e-06,1.43292414825549e-05,0,196.573022942165,715.810529673617,988,1123.96258225918,913.928597463369,9790,2221.56916557159,409.125622688642,1000.9,1243.78916768174,2875.82555803045,99.2,105.39881335184,113.205133932577,0.28,4.80848791987246,4.61212885818165e-10,102.110639699777,1.1762158092333e-06,1.19818109651023e-06,1.2098004466214e-06,912.383552615782,906.699754646071,906.163867978184,0,model,1,-6.53949115207637e-07,-1.02863861746399e-06,1.74174216774538e-06,1.19892414825549e-05,135.962582259176,-74.0714025366309,-7568.43083442841,-9380.87437731136,242.889167681741,1874.92555803045,6.19881335184017,14.0051339325774,4.52848791987246,-0.279999999538787,20221204_142034,2,0.000879068462713373,0.750501700667816,0.587143606382656,2.91189358728247,1,0.00509450805533851,0.000881975795145778,0.00418691804206676,0.00431229555928085,0.00442305536033081,0.00190629773211418,0.0012076299550834,0.00906787254167649,0.0058624598442062
