chamber,meas_ID,meas_idx,Va_rail,Eout_rail,simVSmeasured,rsme_simVSmeasured,circuitValuesKnown,RsolA,RsolB,Ra,Ca,Rb,Cb,Rs,Rsolg,R1g,C1g,R2g,C2g,tau1,tau2,tauMEM12,TER12,TEC12,resnormbest12,RsolAg,RsolBg,Rag,Cag,Rbg,Cbg,Rsg,taua,taub,tauMEMabs,TERabs,TECabs,resnormbestabs,RsolAg_sim,RsolBg_sim,Rag_sim,Cag_sim,Rbg_sim,Cbg_sim,Rsg_sim,taua_sim,taub_sim,tauMEMabs_sim,TERabs_sim,TECabs_sim,resnormbestabs_sim,dRsolA,dRsolB,dRa,dCa,dRb,dCb,dRs,dRsolA_sim,dRsolB_sim,dRa_sim,dCa_sim,dRb_sim,dCb_sim,dRs_sim
model,20220930_164855,2,0,0,1,1.883384284,1,0.35,0.28,99.2,9.03E-08,994,9.20E-08,1000.9,0.221645852,111.1242958,7.16E-08,411.5135565,1.18E-07,7.96E-06,4.86E-05,1.66E-05,522.6378523,4.46E-08,0.00275435,27.86227192,1.56E-10,80.0154078,1.98E-07,1020.215046,9.82E-08,900.0828283,1.58E-05,0.000100229,2.20E-05,495.0717208,6.57E-08,0.015030059,0.048949501,3.45E-13,159.0209376,5.24E-08,1562.051984,9.50E-08,757.3798492,8.33E-06,0.0001484,2.13E-05,525.9353598,3.38E-08,0.249251831,27.51227192,-0.28,-19.1845922,1.08E-07,26.21504596,6.24E-09,-100.8171717,-0.301050499,-0.28,59.82093757,-3.79E-08,568.0519838,3.00E-09,-243.5201508
model,20220930_164855,3,0,0,1,2.08179432,1,0.35,0.28,99.2,9.03E-08,994,9.20E-08,10029,2.662951806,103.5703438,9.01E-08,880.0213111,9.49E-08,9.33E-06,8.35E-05,1.71E-05,983.5916549,4.62E-08,0.000663211,15.20823149,12.20929865,87.86757849,1.79E-07,981.2131082,9.48E-08,9315.590643,1.57E-05,9.30E-05,2.21E-05,959.0210152,6.20E-08,0.007888331,152.1057299,1.55E-07,93542.81323,1.14E-06,957648.0493,1.17E-07,844.0402381,0.106768444,0.11193313,0.107228036,843.3630706,1.06E-07,0.441491588,14.85823149,11.92929865,-11.33242151,8.88E-08,-12.78689185,2.82E-09,-713.4093567,151.7557299,-0.279999845,93443.61323,1.05E-06,956654.0493,2.49E-08,-9184.959762
model,20220930_170344,1,0,0,1,2.024885769,1,0.35,0.28,99.2,9.03E-08,994,1.01E-06,10029,4.927220413,95.12116863,9.99E-08,885.6500516,1.03E-06,9.50E-06,0.000915139,9.73E-05,980.7712202,9.11E-08,0.000759108,18.68721678,21.70081554,76.68745857,3.93E-07,872.1017597,1.08E-06,4701426.661,3.01E-05,0.000938576,0.00010355,948.5977829,2.88E-07,0.047898489,112.3643688,4.76E-13,4720.232692,1.33E-06,2557.328392,4.92E-06,1006.293352,0.00626454,0.012589899,0.010367174,884.0523929,1.05E-06,0.678584865,18.33721678,21.42081554,-22.51254143,3.02E-07,-121.8982403,6.62E-08,4691397.661,112.0143688,-0.28,4621.032692,1.24E-06,1563.328392,3.91E-06,-9022.706648
model,20220930_170344,2,0,0,1,1.869916016,1,0.35,0.28,99.2,9.03E-08,994,1.01E-06,1000.9,4.422277679,429.534154,1.23E-06,88.3247574,9.82E-08,0.000526243,8.68E-06,9.70E-05,517.8589114,9.09E-08,0.002160277,22.68239837,21.26619202,62.97272838,4.79E-07,723.3603016,1.18E-06,1234.676404,3.01E-05,0.000854007,9.61E-05,480.3870885,3.41E-07,0.067821237,93.63999355,1.71E-13,2883.809421,1.89E-06,3608.935047,3.39E-06,465.2036895,0.005440575,0.012231634,0.008456883,434.1004867,1.21E-06,0.624962823,22.33239837,20.98619202,-36.22727162,3.88E-07,-270.6396984,1.71E-07,233.7764038,93.28999355,-0.28,2784.609421,1.80E-06,2614.935047,2.38E-06,-535.6963105
model,20220930_170344,3,0,0,1,1.41789449,1,0.35,0.28,99.2,9.03E-08,994,1.01E-06,100.3,3.14E-10,51.98613583,8.58E-08,40.41184357,4.14E-06,4.46E-06,0.000167413,9.61E-05,92.3979794,8.40E-08,0.089683265,14.83040351,16.72582536,28.61206696,8.15E-07,269.6785345,2.38E-06,76.96665707,2.33E-05,0.000642082,8.27E-05,61.18050993,6.07E-07,0.23706235,6.07E-07,1.00E-09,81.27044125,8.26E-08,172.0369126,1.80E-06,146.2238224,6.71E-06,0.000309701,0.000103921,92.70758259,7.89E-08,0.275275404,14.48040351,16.44582536,-70.58793304,7.24E-07,-724.3214655,1.37E-06,-23.33334293,-0.349999393,-0.279999999,-17.92955875,-7.73E-09,-821.9630874,7.90E-07,45.92382237
model,20220930_171215,1,0,0,1,1.508824076,1,0.35,0.28,99.2,9.03E-08,994,2.34E-06,100.3,3.69482239,47.31217033,1.05E-07,41.22516342,9.26E-06,4.98E-06,0.000381916,0.000206406,88.53733374,1.04E-07,0.128224148,18.17684684,15.58477689,24.93201686,1.15E-06,252.7206076,5.85E-06,74.98528634,2.86E-05,0.001478593,0.000158791,59.04033829,9.59E-07,0.373749098,1.35E-05,1.09E-09,65.60027431,8.40E-08,86.87275583,5.85E-06,235.6753085,5.51E-06,0.000508413,0.00022188,92.57833884,8.28E-08,0.200812588,17.82684684,15.30477689,-74.26798314,1.06E-06,-741.2793924,3.51E-06,-25.31471366,-0.349986512,-0.279999999,-33.59972569,-6.31E-09,-907.1272442,3.51E-06,135.3753085
model,20220930_171215,2,0,0,1,1.719562556,1,0.35,0.28,99.2,9.03E-08,994,2.34E-06,1000.9,5.664399202,430.2333308,2.84E-06,86.40726995,1.02E-07,0.001223386,8.85E-06,0.000211982,516.6406008,9.89E-08,0.00201529,17.59360498,21.85646328,60.3901107,3.45E-07,588.3615272,2.75E-06,1913.286778,2.09E-05,0.001620186,0.00016974,484.4767054,3.07E-07,0.213160854,90.72853014,7.83E-11,2865.941085,4.03E-06,2364.997654,9.09E-06,474.4548987,0.011538795,0.021488276,0.016989944,434.9996981,2.79E-06,0.521461062,17.24360498,21.57646328,-38.8098893,2.55E-07,-405.6384728,4.14E-07,912.3867781,90.37853014,-0.28,2766.741085,3.94E-06,1370.997654,6.75E-06,-526.4451013
model,20220930_171215,3,0,0,1,1.902423328,1,0.35,0.28,99.2,9.03E-08,994,2.34E-06,10029,4.543341521,94.97672297,9.88E-08,886.1396411,2.40E-06,9.38E-06,0.002124201,0.000214107,981.1163641,9.49E-08,0.000512168,16.85320669,20.75084019,72.55369294,3.59E-07,878.4909677,2.46E-06,5000000,2.60E-05,0.002156859,0.000188599,950.8637978,3.13E-07,0.170815967,103.8923434,1.72E-09,4480.569689,2.99E-06,1943.127916,1.19E-05,1030.984402,0.013400784,0.023203951,0.020238555,888.3989993,2.39E-06,0.5438285,16.50320669,20.47084019,-26.64630706,2.69E-07,-115.5090323,1.15E-07,4989971,103.5423434,-0.279999998,4381.369689,2.90E-06,949.1279163,9.60E-06,-8998.015598
model,20220930_172942,1,0,0,1,1.524750612,1,0.35,0.28,99.2,9.03E-08,9790,9.20E-08,100.3,0.02505037,76.01510153,5.16E-08,23.83419084,1.13E-06,3.92E-06,2.69E-05,2.14E-05,99.84929237,4.94E-08,0.081969251,35.40416068,1.872391355,99.38391686,6.25E-07,3567.916721,2.89E-07,63.85544229,6.21E-05,0.001032808,8.84E-05,62.76261277,1.98E-07,0.774553586,36.25528322,2.12E-20,12.54917662,3.56E-07,3745.125028,2.13E-07,64.79778585,4.47E-06,0.000795978,7.11E-06,63.69934665,1.33E-07,0.010381357,35.05416068,1.592391355,0.183916856,5.35E-07,-6222.083279,1.97E-07,-36.44455771,35.90528322,-0.28,-86.65082338,2.66E-07,-6044.874972,1.21E-07,-35.50221415
model,20220930_172942,2,0,0,1,2.329516616,1,0.35,0.28,99.2,9.03E-08,9790,9.20E-08,1000.9,0.021372501,797.6699266,1.15E-07,110.6508068,7.39E-08,9.18E-05,8.18E-06,1.84E-05,908.3207333,4.50E-08,0.000683772,55.25391706,8.89E-13,54.52170413,4.81E-07,8462.153346,1.03E-07,949.4742467,2.62E-05,0.000874851,3.17E-05,854.2400267,8.51E-08,0.033728005,139.8035848,1.94E-15,2075.696881,6.85E-06,242483.367,1.26E-07,779.5804777,0.014224598,0.030641579,0.014363937,777.1033069,1.24E-07,0.406189374,54.90391706,-0.28,-44.67829587,3.91E-07,-1327.846654,1.14E-08,-51.42575329,139.4535848,-0.28,1976.496881,6.76E-06,232693.367,3.44E-08,-221.3195223
