meas_ID,meas_idx,t,f,w,x,y,Zr,xfit,yfit,Zrfit,xfit_sim,yfit_sim,Zrfit_sim
20221108_171100,2,99.022831749991,0.5,3.14159265358979,1002.03066037534,0.205556698526406,7.78906882358958,1008.59901879442,-0.234136728884291,9.12231840802874,1009.0143782392,-0.230404550278913,8.3597268314207
20221108_171100,2,93.694730763443,0.69556,4.37033237226183,1007.74051283032,0.598400744109538,8.78211322583138,1008.59895725942,-0.325712260575755,9.12231612017191,1009.01432029547,-0.320520355282797,8.35972535308192
20221108_171100,2,88.98664377533,0.96762,6.07973576693311,1008.22908750159,-1.94059071633875,9.70805440212332,1008.59883816962,-0.45311065822195,9.12231169244476,1009.0142081559,-0.445888009182911,8.35972249202786
20221108_171100,2,84.34855678704,1.3461,8.45779574199444,1005.11949267434,-0.434816260675202,9.32592581034604,1008.59860769444,-0.630342569098459,9.12230312345543,1009.01399113153,-0.620294836754932,8.35971695502195
20221108_171100,2,99.022831749991,1.5,9.42477796076938,1006.11364026691,-1.39092076006913,9.28949986029529,1008.59849241311,-0.702409712374902,9.12229883734244,1009.01388257815,-0.691213232058735,8.35971418547221
20221108_171100,2,80.170481797589,1.8726,11.7658928062245,1007.14909208403,-2.23520427103124,9.84638458187974,1008.59816168004,-0.876887912910939,9.12228654085123,1009.01357114704,-0.862910270417701,8.35970623986713
20221108_171100,2,93.694730763443,2.08668,13.1109971167855,1007.50891917185,-1.34227288593553,9.64677974812152,1008.5979385994,-0.977135504917134,9.12227824684824,1009.0133610856,-0.961559938450381,8.35970088054047
20221108_171100,2,99.022831749991,2.5,15.707963267949,1008.41815417863,-0.818945776995791,9.09766271737162,1008.59743965288,-1.17068127303549,9.12225969639198,1009.01289125805,-1.1520206575077,8.3596888938031
20221108_171100,2,76.097406807872,2.605,16.3676977252028,1005.36407636528,-1.39114116936128,7.6540356295389,1008.59729857667,-1.21984966575203,9.12225445130275,1009.01275841517,-1.20040533020425,8.35968550458446
20221108_171100,2,88.98664377533,2.90286,18.2392073007993,1006.18669207513,-1.38363179773745,9.42318429798765,1008.59686679575,-1.35932853721714,9.12223839811762,1009.01235183329,-1.33766099234927,8.35967513149317
20221108_171100,2,93.694730763443,3.4778,21.8516618613092,1006.49892651151,-2.03851928347156,9.25555711141471,1008.5959012883,-1.62855491884839,9.12220250178176,1009.01144267333,-1.60259613944034,8.359651936311
20221108_171100,2,99.022831749991,3.5,21.9911485751286,1007.40460572127,-2.94972640001061,9.42274995403459,1008.59586051852,-1.63895046232568,9.12220098602156,1009.01140428289,-1.61282598908239,8.35965095686915
20221108_171100,2,72.089332817991,3.6239,22.7696352346881,1007.01341548388,-1.28609889478272,8.81789997266939,1008.59562821498,-1.6969688030153,9.12219234933182,1009.01118553666,-1.66991958259309,8.35964537608005
20221108_171100,2,84.34855678704,4.0383,25.3733872259833,1006.55935967675,-1.3057319873216,9.17936310819756,1008.59479253641,-1.89101845281304,9.12216128026132,1009.0103986284,-1.86087633873684,8.35962530008529
20221108_171100,2,99.022831749991,4.5,28.2743338823081,1008.15527440411,-1.97076053340163,9.46381739423627,1008.5937550172,-2.10721633172453,9.12212270749744,1009.00942165865,-2.07362838925515,8.35960037535395
20221108_171100,2,88.98664377533,4.8381,30.3986788346656,1007.19266200221,-1.99636247076575,9.67534713759684,1008.59292408155,-2.2655361039718,9.12209181538379,1009.00863921604,-2.22942487000272,8.35958041362002
20221108_171100,2,93.694730763443,4.86892,30.5923266058328,1006.07184284594,-2.12220348465763,9.2876476011243,1008.59284534404,-2.27996794883032,9.12208888813393,1009.0085650736,-2.24362670352232,8.35957852210029
20221108_171100,2,68.286261827593,5.0413,31.6754220890844,1006.46437680694,-3.49886919627504,9.42093961432971,1008.59239573714,-2.3606869267573,9.12207217300081,1009.00814170546,-2.32305920967544,8.35956772116958
20221108_171100,2,80.170481797589,5.6178,35.2976784186735,1007.24663794156,-2.95322799288051,9.19439564272375,1008.59077847152,-2.6306388242316,9.12201204823665,1009.00661882186,-2.58870881222031,8.35952886985352
20221108_171100,2,93.694730763443,6.26004,39.3329913503565,1006.52660880811,-3.3189020091383,8.63153980808549,1008.5887707935,-2.93137204142503,9.12193741064657,1009.00472830881,-2.88464937604798,8.35948064046832
20221108_171100,2,84.34855678704,6.7305,42.2889787099722,1007.34700411665,-2.73022431961979,8.88939939147648,1008.58716234599,-3.15166657363074,9.12187761604578,1009.00321372691,-3.1014333265804,8.35944200218234
20221108_171100,2,88.98664377533,6.77334,42.5581503685318,1006.62199120252,-1.9652216350002,8.82149576603029,1008.58701009412,-3.17172648401082,9.12187195608286,1009.0030703601,-3.12117357208637,8.35943834480031
20221108_171100,2,64.593192836917,7.0131,44.0646068777812,1006.36907616808,-1.917307797968,8.55059796254169,1008.58614016452,-3.28399433411049,9.12183961662959,1009.00225119738,-3.23165239910995,8.35941744751303
20221108_171100,2,76.097406807872,7.815,49.1030931756085,1006.24963759707,-4.1226961384,9.31610307430457,1008.58301078334,-3.65948192630224,9.12172328503867,1008.99930443699,-3.60115676816462,8.35934227538268
20221108_171100,2,88.98664377533,8.70858,54.717621902398,1005.80981412361,-3.31812546616274,9.31905219250147,1008.57912493407,-4.07789280338698,9.12157883797097,1008.99564534938,-4.01290102897081,8.35924893462041
20221108_171100,2,80.170481797589,9.363,58.8294640311225,1006.15723053558,-4.07382429292,9.89066239139235,1008.57601252495,-4.38431499491461,9.12146314603819,1008.99271456387,-4.31444135924562,8.35917417465292
20221108_171100,2,84.34855678704,9.4227,59.2045701939611,1006.84465786732,-4.18303392382817,9.98809337110556,1008.57571737442,-4.41226842478723,9.12145217514475,1008.99243663659,-4.34194945901169,8.35916708524957
20221108_171100,2,61.325130845168,9.7562,61.3000124939055,1007.5485945728,-5.54045324259024,8.86166333772322,1008.57403407971,-4.56842309048524,9.12138960690331,1008.99085156857,-4.49561646210224,8.35912665349359
20221108_171100,2,72.089332817991,10.8717,68.3089057040643,1007.52270690023,-5.11472489852557,9.85986248023122,1008.56797843505,-5.09072584610804,9.12116452734313,1008.98514928674,-5.00959931360319,8.35898120524786
20221108_171100,2,84.34855678704,12.1149,76.12016167795,1007.64550199973,-5.24046921371423,8.76663394537378,1008.56045799855,-5.67280550226835,9.12088502403849,1008.97806767171,-5.58240839698408,8.35880058518106
20221108_171100,2,76.097406807872,13.025,81.8384886260141,1006.49583170826,-6.81235868330596,8.75210135617549,1008.5544369586,-6.09891298892111,9.12066126338978,1008.97239795001,-6.00173055087211,8.35865598482298
20221108_171100,2,80.170481797589,13.1082,82.3612496435715,1006.55643929004,-5.87879270455554,8.90699139777984,1008.55386478127,-6.1378666074207,9.12064000024873,1008.97185915774,-6.04006392271171,8.35864224388778
