10/22/2021									
Index	Time (s)	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	OCP value (V)	A ratio	meas start time (s)
1	28.3016209285453	10000	84.3452659543829	29.0920307130153	89.221466811091	19.0301326851848	0.00241451263427734	1.35593718	3717782225.460151
2	30.6746599225539	6240.1	86.6942111515525	43.1694496576506	96.8477549091067	26.4710446642862			
3	33.1077069164111	3893.8	89.0215997598915	65.1634268275142	110.322787400043	36.2039667154789			
4	35.6257509100536	2429.8	90.9019048835491	100.363484936296	135.410433202232	47.8320181310129			
5	50.0170188737192	2069.01	90.6041280842292	117.452131329473	148.337827878593	52.3529303993583			
6	50.0170188737192	1609.23	91.8990178591395	150.369852219535	176.228607042101	58.5686782040443			
7	38.1237969037467	1516.2	92.9993276076215	159.006321848184	184.206094696017	59.6775664478962			
8	52.7200678668946	1291.05	94.136023067693	187.203908616725	209.539719958724	63.3043320898087			
9	50.0170188737192	1149.45	95.2703019045044	211.065059860442	231.570485854453	65.7065906983033			
10	52.7200678668946	1004.15	98.2428734882429	241.075583555677	260.32498761728	67.8281722582317			
11	40.6468438973766	946.12	101.015422611771	255.873011552033	275.091100630576	68.456521440548			
12	55.2381148605372	805.626	106.33051537792	301.934453472317	320.110282081286	70.5995594191574			
13	52.7200678668946	717.25	112.264519978819	337.039328966065	355.244749033634	71.5775861131489			
14	50.0170188737192	689.67	116.441060747189	351.202875234856	370.002675937837	71.6570971678519			
15	55.2381148605372	626.598	121.263880268542	387.305842192068	405.845714593477	72.6148744648677			
16	43.0548898912969	590.38	125.911060328534	409.656559241525	428.569821199137	72.9147909946458			
17	57.8011638540661	502.713	141.81281903716	479.129149405185	499.675512160645	73.5122808378595			
18	55.2381148605372	447.57	156.645343197414	537.193381013721	559.566342939234	73.7433398584862			
19	52.7200678668946	430.35	163.017640863633	556.472046038023	579.858507960768	73.6721339561336			
20	57.8011638540661	390.999	177.976652136366	610.128213385164	635.556547817927	73.7378402592942			
21	45.527933885053	368.4	190.382023787041	645.019044895578	672.528722999437	73.5556546075473			
22	60.5892148470269	313.695	227.681611544161	749.198486856306	783.030835244133	73.0959598044498			
23	57.8011638540661	279.285	262.194680290765	832.596451434376	872.904863839062	72.5201555183103			
24	55.2381148605372	268.542	276.21256789434	865.105452080919	908.130401364758	72.2926551142278			
25	60.5892148470269	243.985	311.885907195775	939.577745720923	989.989474368967	71.6367944044411			
26	50.0170188737192	229.89	338.746204595424	988.139800510729	1044.59047309517	71.0776688383343			
27	63.7222728391167	195.75	421.373560502076	1133.80432759502	1209.57344992497	69.6126306727262			
28	60.5892148470269	174.275	500.407654274822	1246.7368311776	1343.4137659975	68.130760565892			
29	57.8011638540661	167.571	527.106618612198	1287.42043987954	1391.14800664933	67.7344088059715			
30	63.7222728391167	152.25	607.786857416769	1384.01262229269	1511.5871799913	66.2913997355505			
31	52.7200678668946	143.45	663.911275314146	1446.03447684255	1591.16117653322	65.3389389184742			
32	67.0253368307773	122.148	836.77320754547	1614.12815015132	1818.13065701474	62.5975198756013			
33	63.7222728391167	108.75	986.102176208131	1733.87602647635	1994.67380218215	60.3719396853144			
34	60.5892148470269	104.565	1042.28635697825	1773.82840008191	2057.38378599622	59.5618702403577			
