10/13/2021									
Index	Time (s)	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	OCP value (V)	A ratio	meas start time (s)
1	51.4460498701112	10000	84.2370890962167	20.154338886426	86.6145747282341	13.4554907725831	7.72476196289054E-05	1.07137937	3716986269.774997
2	53.8140898641325	6309.6	85.2548157313648	31.2923667736497	90.8162751035606	20.1554166973682			
3	56.2021358581032	3981.1	87.1701679751961	48.56410161638	99.785320316317	29.1229826775314			
4	58.4751788523644	2511.9	90.5257863529806	75.0109775543576	117.565151080096	39.6456375572666			
5	70.4783988220591	2260.71	91.2684944711756	82.8936295982264	123.293519339027	42.2469612749427			
6	70.4783988220591	1758.33	94.8141169724065	104.70509969259	141.254644804666	47.8380624669161			
7	60.8432198463856	1584.9	96.7536692717019	115.311298286814	150.525639112174	50.0011659317794			
8	73.1264468153735	1426.41	98.4666125720346	127.546489038732	161.132804411512	52.3316559108759			
9	70.4783988220591	1255.95	101.546602479382	143.028600335956	175.410641037447	54.6262345970407			
10	73.1264468153735	1109.43	104.355242987691	160.712870011668	191.62109311453	57.0032386890264			
11	63.1312648406089	1000	107.840173697354	176.512159340808	206.847879994527	58.5771393212933			
12	75.8144968085868	900	111.120359933628	194.968697678759	224.411513667036	60.3194767073872			
13	73.1264468153735	792.45	116.246409487925	219.136934942812	248.060927949092	62.0552195451357			
14	70.4783988220591	753.57	118.730046899537	228.98718515539	257.937889814884	62.5932230340814			
15	75.8144968085868	700	122.270705849427	245.11488088523	273.918656429783	63.4885934423079			
16	65.7193108340747	630.96	128.2623529041	269.237016886282	298.227769388298	64.5272448875842			
17	78.2725448023808	567.864	134.928795671102	296.19346003106	325.478640875903	65.5087046022971			
18	75.8144968085868	500	144.340788821769	332.864404087366	362.81258912299	66.556882680624			
19	73.1264468153735	475.47	148.819392781769	348.449798080525	378.89902804084	66.8731609419618			
20	78.2725448023808	441.672	155.68455367646	372.264513136017	403.507804130025	67.3048553869606			
21	68.1173568280202	398.11	166.810492551179	408.457602800813	441.206701797415	67.7853274298392			
22	80.9305917956699	358.299	179.84726636579	449.178410502354	483.845309660711	68.1792504323641			
23	78.2725448023808	315.48	198.888053848898	503.151659556947	541.034241502986	68.431880682529			
24	75.8144968085868	300	207.655800098757	524.975295630014	564.552913672824	68.4185537489768			
25	80.9305917956699	278.677	221.515403119596	560.874949015866	603.033815181859	68.4486489613334			
26	70.4783988220591	251.19	243.854756682981	613.963789273905	660.618404902928	68.3379639481925			
27	83.7686457885045	226.071	271.098422397596	672.656955618523	725.232193554896	68.0492704855175			
28	80.9305917956699	199.055	310.254933644086	748.991635206403	810.707464785947	67.4991877261325			
29	78.2725448023808	189.288	328.373055843084	780.992097310822	847.217516264674	67.1953735864056			
30	83.7686457885045	175.833	356.557667677325	830.071844552169	903.411665575408	66.7540405891151			
31	73.1264468153735	158.49	403.625968999214	900.673731766165	986.978770766699	65.8610438470868			
32	86.8767027806574	142.641	458.199307862994	977.368070720273	1079.44196295567	64.8823763926785			
33	83.7686457885045	125.595	536.540250969171	1072.7896312879	1199.48031826658	63.428735206972			
34	80.9305917956699	119.433	571.602451652415	1110.47270209087	1248.95115389836	62.7634004015677			
35	86.8767027806574	110.943	627.153250240021	1168.18116027593	1325.88401548183	61.7702941786337			
36	75.8144968085868	100	712.995954601588	1246.95185975816	1436.4025103823	60.2394634657015			
37	90.3297677719393	90	812.550946473231	1327.13804950714	1556.12802913647	58.5226127952202			
38	86.8767027806574	79.245	947.076083007125	1417.7025081933	1704.94384328098	56.2556568178599			
39	83.7686457885045	75.357	1004.23031932385	1450.22549021806	1763.98200294886	55.2987560804783			
40	90.3297677719393	70	1092.63224447598	1498.35630339761	1854.43167401767	53.8996995490148			
41	78.2725448023808	63.096	1223.2214223421	1554.73228592785	1978.24748931549	51.8052860625889			
42	93.8628317630191	56.7864	1363.47745858928	1606.82396551509	2107.35712119107	49.6835847660911			
43	90.3297677719393	50	1540.06576205259	1653.1105947734	2259.33113774823	47.0275384899647			
44	86.8767027806574	47.547	1610.26412283915	1666.23281302583	2317.17119188612	45.9786238011404			
45	93.8628317630191	44.1672	1713.532365079	1681.68221022663	2400.88488319744	44.4625300163811			
46	80.9305917956699	39.811	1856.99728782243	1693.56327227268	2513.28380493942	42.3645079409812			
47	97.3258957542757	35.8299	2000.99137250492	1699.64477451816	2625.40641280279	40.344617726409			
48	93.8628317630191	31.548	2167.08035759891	1693.21827387014	2750.13188761172	38.001798332526			
49	90.3297677719393	30	2229.843227968	1689.3213431048	2797.50020939841	37.1474404434474			
50	97.3258957542757	27.8677	2320.3149047891	1680.39724064217	2864.89024986024	35.9124639258816			
51	83.7686457885045	25.119	2437.7246657751	1666.50082497524	2952.91831004034	34.3576687494161			
52	101.09896774475	22.6071	2553.06867126539	1653.90775403396	3041.96819494394	32.9356385229265			
53	97.3258957542757	19.9055	2682.71018057793	1639.24630686665	3143.89286833257	31.4266468841504			
54	93.8628317630191	18.9288	2730.63699619899	1634.09505919011	3182.23900225614	30.8975672001549			
55	101.09896774475	17.5833	2800.50745331822	1630.26954308616	3240.46613609913	30.2051236413541			
56	86.8767027806574	15.849	2895.63464126839	1629.35145774203	3322.57221871242	29.3661247216649			
57	104.947038735034	14.2641	2992.85810387102	1635.1340610141	3410.40511191777	28.6497802907296			
58	101.09896774475	12.5595	3109.55361913117	1650.23880643102	3520.3141661651	27.9548735802458			
59	97.3258957542757	11.9433	3156.94938602018	1658.26007860035	3565.97194523075	27.7117306655638			
