absolute time(s)	TEP (mV)	Va (mV)	Vb (mV)	A ratio	TTL signal	Temp (C)	comment time	comment
3716986169.301420	-0.000045	0.218982	0.218936	NaN	-0.000254	-0.000590	0.000000	
3716986169.401403	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986169.501337	-0.000045	0.243990	0.243945	NaN	-0.000191	-0.000590	0.000000	
3716986169.601072	-0.000045	0.256494	0.256449	NaN	-0.000254	-0.000590	0.000000	
3716986169.702875	-0.000045	0.209604	0.209558	NaN	-0.000254	-0.000590	0.000000	
3716986169.802609	-0.000045	0.187721	0.187676	NaN	-0.000254	-0.000590	0.000000	
3716986169.902341	-0.000045	0.181469	0.181424	NaN	-0.000316	-0.000590	0.000000	
3716986170.002074	-0.000045	0.243990	0.243945	NaN	-0.000191	-0.000590	0.000000	
3716986170.102003	-0.000045	0.243990	0.243945	NaN	-0.000316	-0.000590	0.000000	
3716986170.202039	-0.000045	0.243990	0.243945	NaN	-0.000191	-0.000590	0.000000	
3716986170.303899	-0.000045	0.250242	0.250197	NaN	-0.000191	-0.000590	0.000000	
3716986170.403637	-0.000045	0.275250	0.275205	NaN	-0.000254	-0.000590	0.000000	
3716986170.503672	-0.000045	0.212730	0.212684	NaN	-0.000254	-0.000590	0.000000	
3716986170.603405	-0.000045	0.268998	0.268953	NaN	-0.000316	-0.000590	0.000000	
3716986170.703230	-0.000045	0.256494	0.256449	NaN	-0.000254	-0.000590	0.000000	
3716986170.802964	-0.000045	0.300258	0.300213	NaN	-0.000254	-0.000590	0.000000	
3716986170.903761	-0.000045	0.350275	0.350230	NaN	-0.000254	-0.000590	0.000000	
3716986171.003537	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986171.104824	-0.000045	0.256494	0.256449	NaN	-0.000254	-0.000590	0.000000	
3716986171.204412	-0.000045	0.231486	0.231441	NaN	-0.000316	-0.000590	0.000000	
3716986171.304250	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986171.404110	-0.000045	0.300258	0.300213	NaN	-0.000191	-0.000590	0.000000	
3716986171.504606	-0.000045	0.243990	0.243945	NaN	-0.000316	-0.000590	0.000000	
3716986171.604453	-0.000045	0.275250	0.275205	NaN	-0.000254	-0.000590	0.000000	
3716986171.704528	-0.000045	0.287754	0.287709	NaN	-0.000254	-0.000590	0.000000	
3716986171.804537	-0.000045	0.240864	0.240819	NaN	-0.000316	-0.000590	0.000000	
3716986171.904344	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986172.004077	-0.000045	0.237738	0.237693	NaN	-0.000191	-0.000590	0.000000	
3716986172.103952	-0.000045	0.247116	0.247071	NaN	-0.000316	-0.000590	0.000000	
3716986172.204544	-0.000045	0.237738	0.237693	NaN	-0.000191	-0.000590	0.000000	
3716986172.304519	-0.000045	0.225234	0.225189	NaN	-0.000254	-0.000590	0.000000	
3716986172.404623	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986172.504323	-0.000045	0.306511	0.306465	NaN	-0.000316	-0.000590	0.000000	
3716986172.604056	-0.000045	0.331519	0.331474	NaN	-0.000254	-0.000590	0.000000	
3716986172.703937	-0.000045	0.306511	0.306465	NaN	-0.000254	-0.000590	0.000000	
3716986172.804682	-0.000045	0.306511	0.306465	NaN	-0.000254	-0.000590	0.000000	
3716986172.904402	-0.000045	0.369031	0.368986	NaN	-0.000254	-0.000590	0.000000	
3716986173.004163	-0.000045	0.275250	0.275205	NaN	-0.000254	-0.000590	0.000000	
3716986173.103933	-0.000045	0.231486	0.231441	NaN	-0.000316	-0.000590	0.000000	
3716986173.204759	-0.000045	0.300258	0.300213	NaN	-0.000191	-0.000590	0.000000	
3716986173.304712	-0.000045	0.225234	0.225189	NaN	-0.000254	-0.000590	0.000000	
3716986173.404829	-0.000045	0.237738	0.237693	NaN	-0.000191	-0.000590	0.000000	
3716986173.504706	-0.000045	0.200225	0.200180	NaN	-0.000254	-0.000590	0.000000	
3716986173.604440	-0.000045	0.337771	0.337726	NaN	-0.000316	-0.000590	0.000000	
3716986173.704336	-0.000045	0.306511	0.306465	NaN	-0.000254	-0.000590	0.000000	
3716986173.804290	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986173.904339	-0.000045	0.256494	0.256449	NaN	-0.000191	-0.000590	0.000000	
3716986174.004044	-0.000045	0.281502	0.281457	NaN	-0.000254	-0.000590	0.000000	
3716986174.103933	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986174.204739	-0.000045	0.193973	0.193928	NaN	-0.000316	-0.000590	0.000000	
3716986174.304483	-0.000045	0.212730	0.212684	NaN	-0.000191	-0.000590	0.000000	
3716986174.404402	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986174.504149	-0.000045	0.231486	0.231441	NaN	-0.000191	-0.000590	0.000000	
3716986174.604200	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986174.704240	-0.000045	0.218982	0.218936	NaN	-0.000254	-0.000590	0.000000	
3716986174.804364	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986174.904629	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986175.004678	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986175.104227	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986175.204073	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986175.304235	-0.000045	0.256494	0.256449	NaN	-0.000254	-0.000590	0.000000	
3716986175.404588	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986175.504394	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986175.604127	-0.000045	0.300258	0.300213	NaN	-0.000254	-0.000590	0.000000	
3716986175.705854	-0.000045	0.312763	0.312717	NaN	-0.000191	-0.000590	0.000000	
3716986175.805683	-0.000045	0.294006	0.293961	NaN	-0.000254	-0.000590	0.000000	
3716986175.905434	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986176.005138	-0.000045	0.268998	0.268953	NaN	-0.000254	-0.000590	0.000000	
3716986176.105897	-0.000045	0.247116	0.247071	NaN	-0.000254	-0.000590	0.000000	
3716986176.206760	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986176.307889	-0.000045	0.262746	0.262701	NaN	-0.000254	-0.000590	0.000000	
3716986176.407494	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986176.507442	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986176.607346	-0.000045	0.268998	0.268953	NaN	-0.000254	-0.000590	0.000000	
3716986176.707050	-0.000045	0.243990	0.243945	NaN	-0.000379	-0.000590	0.000000	
3716986176.807164	-0.000045	0.262746	0.262701	NaN	-0.000254	-0.000590	0.000000	
3716986176.907848	-0.000045	0.237738	0.237693	NaN	-0.000191	-0.000590	0.000000	
3716986177.007384	-0.000045	0.225234	0.225189	NaN	-0.000316	-0.000590	0.000000	
3716986177.107444	-0.000045	0.231486	0.231441	NaN	-0.000379	-0.000590	0.000000	
3716986177.208887	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986177.308216	-0.000045	0.256494	0.256449	NaN	-0.000191	-0.000590	0.000000	
3716986177.408403	-0.000045	0.225234	0.225189	NaN	-0.000191	-0.000590	0.000000	
3716986177.508646	-0.000045	0.225234	0.225189	NaN	-0.000316	-0.000590	0.000000	
3716986177.608682	-0.000045	0.218982	0.218936	NaN	-0.000191	-0.000590	0.000000	
3716986177.708415	-0.000045	0.319015	0.318969	NaN	-0.000254	-0.000590	0.000000	
3716986177.808308	-0.000045	0.294006	0.293961	NaN	-0.000191	-0.000590	0.000000	
3716986177.908571	-0.000045	0.218982	0.218936	NaN	-0.000316	-0.000590	0.000000	
3716986178.008578	-0.000045	0.256494	0.256449	NaN	-0.000191	-0.000590	0.000000	
3716986178.109686	-0.000045	0.225234	0.225189	NaN	-0.000254	-0.000590	0.000000	
3716986178.209421	-0.000045	0.237738	0.237693	NaN	-0.000316	-0.000590	0.000000	
3716986178.309746	-0.000045	0.256494	0.256449	NaN	-0.000254	-0.000590	0.000000	
3716986178.409881	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986178.509303	-0.000045	0.218982	0.218936	NaN	-0.000254	-0.000590	0.000000	
3716986178.609168	-0.000045	0.243990	0.243945	NaN	-0.000191	-0.000590	0.000000	
3716986178.710895	-0.000045	0.300258	0.300213	NaN	-0.000191	-0.000590	0.000000	
3716986178.810636	-0.000045	0.350275	0.350230	NaN	-0.000254	-0.000590	0.000000	
3716986178.911879	-0.000045	0.281502	0.281457	NaN	-0.000191	-0.000590	0.000000	
3716986179.011798	-0.000045	0.237738	0.237693	NaN	-0.000316	-0.000590	0.000000	
3716986179.111055	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986179.211601	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986179.310950	-0.000045	0.256494	0.256449	NaN	-0.000316	-0.000590	0.000000	
3716986179.411267	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986179.511696	-0.000045	0.231486	0.231441	NaN	-0.000191	-0.000590	0.000000	
3716986179.611691	-0.000045	0.231486	0.231441	NaN	-0.000191	-0.000590	0.000000	
3716986179.711763	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986179.811495	-0.000045	0.306511	0.306465	NaN	-0.000316	-0.000590	0.000000	
3716986179.911534	-0.000045	0.268998	0.268953	NaN	-0.000191	-0.000590	0.000000	
3716986180.011240	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986180.111119	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986180.211034	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986180.312906	-0.000045	0.262746	0.262701	NaN	-0.000191	-0.000590	0.000000	
3716986180.412079	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986180.512109	-0.000045	0.287754	0.287709	NaN	-0.000254	-0.000590	100.000000	test comment sadf
3716986180.612202	-0.000045	0.243990	0.243945	NaN	-0.000316	-0.000590	0.000000	
3716986180.713898	-0.000045	0.294006	0.293961	NaN	-0.000254	-0.000590	0.000000	
3716986180.812943	-0.000045	0.287754	0.287709	NaN	-0.000316	-0.000590	0.000000	
3716986180.913384	-0.000045	0.225234	0.225189	NaN	-0.000316	-0.000590	0.000000	
3716986181.013498	-0.000045	0.218982	0.218936	NaN	-0.000379	-0.000590	0.000000	
3716986181.113225	-0.000045	0.225234	0.225189	NaN	-0.000254	-0.000590	0.000000	
3716986181.213126	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986181.314797	-0.000045	0.262746	0.262701	NaN	-0.000254	-0.000590	0.000000	
3716986181.414274	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986181.514000	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986181.614151	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986181.714264	-0.000045	0.218982	0.218936	NaN	-0.000254	-0.000590	0.000000	
3716986181.813983	-0.000045	0.243990	0.243945	NaN	-0.000316	-0.000590	0.000000	
3716986181.999562	-0.000045	0.262746	0.262701	NaN	-0.000254	-0.000590	0.000000	
3716986182.099518	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986182.198953	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986182.299599	-0.000045	0.268998	0.268953	NaN	-0.000191	-0.000590	0.000000	
3716986182.399070	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986182.500810	-0.000045	0.243990	0.243945	NaN	-0.000191	-0.000590	0.000000	
3716986182.600783	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986182.700488	-0.000045	0.231486	0.231441	NaN	-0.000316	-0.000590	0.000000	
3716986182.800221	-0.000045	0.337771	0.337726	NaN	-0.000254	-0.000590	0.000000	
3716986182.899983	-0.000045	0.306511	0.306465	NaN	-0.000254	-0.000590	0.000000	
3716986183.000420	-0.000045	0.237738	0.237693	NaN	-0.000191	-0.000590	0.000000	
3716986183.100151	-0.000045	0.243990	0.243945	NaN	-0.000254	-0.000590	0.000000	
3716986183.200888	-0.000045	0.231486	0.231441	NaN	-0.000316	-0.000590	0.000000	
3716986183.300721	-0.000045	0.212730	0.212684	NaN	-0.000254	-0.000590	0.000000	
3716986183.400738	-0.000045	0.250242	0.250197	NaN	-0.000254	-0.000590	0.000000	
3716986183.500517	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986183.600502	-0.000045	0.243990	0.243945	NaN	-0.000316	-0.000590	0.000000	
3716986183.700233	-0.000045	0.212730	0.212684	NaN	-0.000254	-0.000590	0.000000	
3716986183.800141	-0.000045	0.262746	0.262701	NaN	-0.000254	-0.000590	0.000000	
3716986183.900851	-0.000045	0.275250	0.275205	NaN	-0.000191	-0.000590	0.000000	
3716986184.000585	-0.000045	0.344023	0.343978	NaN	-0.000254	-0.000590	0.000000	
3716986184.100813	-0.000045	0.272124	0.272079	NaN	-0.000254	-0.000590	0.000000	
3716986184.200557	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986184.300425	-0.000045	0.231486	0.231441	NaN	-0.000254	-0.000590	0.000000	
3716986184.400330	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
3716986184.500319	-0.000045	0.237738	0.237693	NaN	-0.000254	-0.000590	0.000000	
